sourcetype,tech_category,scope,security_classification,security_relevance,data_models,vendor,description,expanded_desc
kdump,linux,operational,,low,,Linux,Linux kernel/boot messages,Linux kdump crash dump service log - records kernel panic captures and vmcore generation. Operational diagnostic and reliability data.
keeper,security,security,PAM,high,"Authentication.Authentication, Change.Audit_Logs",Keeper Security,Keeper password manager logs,"Keeper Security event log - vault access, sharing, admin activity, and policy enforcement events from the enterprise Keeper tenant."
keeper_security,security,security,PAM,high,Authentication.Authentication,Keeper Security,Keeper password manager logs,Underscore-named alternative for the keeper sourcetype - same Keeper Security enterprise event payload.
kern,linux,operational,,low,,Linux,Linux kernel/boot messages,"Linux kernel facility messages from /var/log/kern.log - hardware events, driver messages, OOM killer, netfilter (iptables) kernel logging."
kibana,app,operational,,low,Web.Web,Elastic,Kibana visualization logs,"Elastic Kibana server log - dashboard, server, and saved object activity in the Elastic stack frontend."
krb_child,linux,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,SSSD krb_child helper log - per-Kerberos-authentication forked child process activity. Authentication detail.
krb5_child,linux,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,SSSD krb5_child helper log - alternative name for the Kerberos auth helper used in some sssd versions. Authentication detail.
kubernetes,app,operational,,med,"Change.All_Changes, Alerts.Alerts",Kubernetes,Kubernetes orchestration logs,Generic Kubernetes umbrella sourcetype - usually emitted by older collectors before subtype routing. Prefer k8s:* or kubes:* per-subsystem sourcetypes.
kubes:application,app,operational,,low,,Kubernetes,Kubernetes/container logs,Application container output collected by the Splunk OpenTelemetry / Splunk Connect for Kubernetes - the workload's stdout/stderr stream tagged with Kubernetes metadata.
kubes:container-report,app,operational,,low,Compute_Inventory.All_Inventory,Kubernetes,Kubernetes container inventory report,"Splunk Connect for Kubernetes container inventory report - container state, image, restart count snapshots. Inventory data model contributor."
kubes:dataplane,app,operational,,low,"Application_State.All_Application_State, Performance.All_Performance, Endpoint.Services",Kubernetes,Kubernetes metrics,"Kubernetes data-plane (worker) logs from Splunk Connect for Kubernetes - kubelet, container runtime, kube-proxy. Operational/diagnostic."
kubes:fluent-bit,app,operational,,low,,Kubernetes,Kubernetes Fluent Bit collector logs,Fluent Bit collector internal log stream - the collection agent's own diagnostic and forwarding status messages.
kubes:host,app,operational,,low,"Application_State.All_Application_State, Endpoint.Services",Kubernetes,Kubernetes/container logs,"Kubernetes worker host operating-system logs collected alongside cluster logs - syslog, journald data from the underlying nodes."
kubes:performance,app,operational,,low,Performance.All_Performance,Kubernetes,Kubernetes metrics,Kubernetes performance metric stream from Splunk Connect for Kubernetes - resource usage at node/pod/container granularity. Operational metric data.
kvstore,linux,operational,,none,,Splunk,KV store logs,"Splunk KV Store log (mongod.log subset) - the MongoDB-derived KV store engine messages, replication, and slow-query diagnostics. Operational platform health."
landesk,security,operational,,low,"Compute_Inventory.All_Inventory, Updates.All_Updates",Ivanti,Ivanti (LANDesk) endpoint management logs,"Ivanti (formerly LANDesk) Endpoint Manager log - patching, software distribution, and inventory events."
last,linux,operational,,low,Authentication.Authentication,Linux/Unix,Login history,Splunk_TA_nix `last` command output - login history from /var/log/wtmp. Useful for the Authentication data model on hosts where syslog secure isn't shipped.
lastlog,linux,operational,,low,Authentication.Authentication,Linux/Unix,Last login information,Splunk_TA_nix `lastlog` command output - most recent login per local user from /var/log/lastlog. Authentication-relevant snapshot.
lastpass,security,security,PAM,high,"Authentication.Authentication, Change.Audit_Logs",LastPass,LastPass password manager logs,"LastPass enterprise audit log - vault item activity, sharing, admin and security policy events."
ldap_child,linux,security,IAM,med,Authentication.Authentication,SSSD,SSSD auth daemon logs,SSSD ldap_child helper log - per-LDAP-authentication forked child process activity. Authentication detail.
ldaptestconnection,linux,security,IAM,low,,,LDAP connection test logs,Log emitted by an LDAP connection test - often a credentialed bind to verify directory connectivity. Authentication data model contributor.
lenel:access,security,security,,med,Authentication.Authentication,Lenel,Lenel OnGuard access control,"Lenel OnGuard physical access control system event - badge swipe accept/reject, door forced/held, alarm events."
linux:audit,linux,security,EDR,high,"Authentication.Authentication, Change.All_Changes, Intrusion_Detection.IDS_Attacks",Linux,Linux audit subsystem logs,"Splunk_TA_linux_auditd parsed audit events - umbrella for SYSCALL, EXECVE, USER, PATH, SOCKADDR, AVC and other audit record types after extraction."
linux:audit:apparmor,linux,security,EDR,med,Intrusion_Detection.IDS_Attacks,Linux,Linux audit AppArmor events,AppArmor LSM events surfaced through auditd - profile denials and allows. Feeds Change Analysis and Endpoint data models.
linux:audit:avc,linux,security,EDR,med,Intrusion_Detection.IDS_Attacks,Linux,Linux audit SELinux AVC denials,SELinux Access Vector Cache denial records from auditd - the primary signal for misconfigured or attempted policy-violating access on RHEL/CentOS.
linux:audit:cwd,linux,security,EDR,low,Endpoint.Processes,Linux,Linux audit current working directory,Audit CWD record - current working directory associated with a parent SYSCALL event. Used to enrich command execution forensics.
linux:audit:execve,linux,security,EDR,high,"Endpoint.Processes, Change.All_Changes",Linux,Linux audit execve system calls,Audit EXECVE record - the executed program path and full argv vector for process executions. Critical for Endpoint.Processes and command-line-based threat hunting.
linux:audit:path,linux,security,EDR,med,"Endpoint.Filesystem, Change.All_Changes",Linux,Linux audit file path events,Audit PATH record - filesystem path component of a multi-record SYSCALL event. Provides file targets for open/unlink/rename forensics.
linux:audit:proctitle,linux,security,EDR,med,Endpoint.Processes,Linux,Linux audit process title events,"Audit PROCTITLE record - hex-encoded full command line of the executing process, often the most accurate source for argv reconstruction."
linux:audit:selinux,linux,security,EDR,med,Intrusion_Detection.IDS_Attacks,Linux,Linux audit SELinux events,SELinux-tagged audit events - parent AVC and policy load records used to monitor SELinux enforcement state and denials.
linux:audit:sockaddr,linux,security,EDR,med,"Network_Traffic.All_Traffic, Intrusion_Detection.IDS_Attacks",Linux,Linux audit socket address events,Audit SOCKADDR record - remote address/port associated with a network syscall (connect/accept/bind). Pairs with SYSCALL for network telemetry.
linux:audit:syscall,linux,security,EDR,high,"Endpoint.Processes, Intrusion_Detection.IDS_Attacks",Linux,Linux audit system calls,"Audit SYSCALL record - the parent event of most multi-record audit messages. Carries syscall number, args, uid/euid/pid, success/exit status."
linux:audit:user,linux,security,IAM,high,Authentication.Authentication,Linux,Linux audit user events,"Audit USER_* records - USER_LOGIN, USER_AUTH, USER_ACCT, USER_START etc. Authentication-grade events feeding the Authentication data model."
linux:journal,linux,operational,,med,,Linux,systemd journal log entries,"Native systemd-journal sourcetype produced by Splunk_TA_nix journald input - structured per-entry fields (UNIT, _PID, MESSAGE, PRIORITY) preferred over text journalctl output."
linux:journald,linux,operational,,med,,Linux,systemd-journald log entries,"Linux systemd-journald log entries (variant naming of linux:journal). Kernel messages, service start/stop events, and application logs collected by journald."
linux:kerberos,linux,security,IAM,high,Authentication.Authentication,Linux,Linux Kerberos authentication logs,"Linux Kerberos client/library logs - krb5 ticket acquisition, KDC interactions, error conditions. Feeds the Authentication data model."
linux:ldap,linux,security,IAM,med,Authentication.Authentication,Linux,Linux LDAP logs,"Linux LDAP client activity - sssd/nss_ldap directory queries, bind operations, and error conditions used for centralized identity."
linux:radius,linux,security,IAM,high,Authentication.Authentication,Linux,Linux RADIUS authentication logs,"Linux RADIUS client/server logs - typically freeradius - authentication, accounting, and error events feeding the Authentication data model."
Linux:SELinuxConfig,linux,security,EDR,med,,Linux,Linux SELinux config/policy data,"Snapshot of SELinux configuration (mode, policy, booleans) collected by the Splunk Add-on for Unix and Linux. Used for compliance and CIS benchmark reporting."
linux:sssd,linux,security,IAM,high,Authentication.Authentication,Linux,Linux SSSD authentication logs,SSSD-emitted authentication and directory provider activity surfaced under the Linux umbrella - companion to the sssd_* component sourcetypes.
linux_audit,linux,security,EDR,high,"Authentication.Authentication, Change.All_Changes, Endpoint.Filesystem, Endpoint.Processes, Endpoint.Services, Intrusion_Detection.IDS_Attacks",Linux,Linux audit daemon logs,Alias commonly used for the auditd log - same /var/log/audit/audit.log content. Foundational source for the Splunk Add-on for Unix and Linux audit content.
linux_auditd,linux,security,EDR,high,"Authentication.Authentication, Change.All_Changes, Endpoint.Processes, Endpoint.Services, Intrusion_Detection.IDS_Attacks",Linux,Linux audit daemon logs,"Auditd parsed sourcetype used by the Splunk Add-on for Unix and Linux - feeds the Change, Authentication, and Endpoint data models from SYSCALL/EXECVE/USER_* record types."
linux_bootlog,linux,operational,,low,,Linux,Linux kernel/boot messages,Linux boot log captured by Splunk_TA_nix - dmesg-style early kernel and init messages. Operational diagnostics only.
linux_messages_syslog,linux,security,,med,"Alerts.Alerts, Authentication.Authentication, Change.All_Changes, Endpoint.Services, Network_Traffic.All_Traffic, Performance.OS",Linux,Linux /var/log/messages syslog,Splunk_TA_nix input for /var/log/messages on Red Hat-family systems. Mixed system messages used by countless Splunk-shipped extractions.
linux_secure,linux,security,IAM,high,"Authentication.Authentication, Change.All_Changes, Network_Sessions.Session_End, Network_Sessions.Session_Start",Linux,Linux /var/log/secure authentication logs,"Red Hat /var/log/secure authentication log - SSHD, sudo, su, login, PAM events. Primary Linux Authentication data model source on RHEL-family systems."
logstash,app,operational,,low,Change.All_Changes,Elastic,Logstash data processing logs,"Elastic Logstash pipeline log - input/filter/output plugin activity, queue depth, error messages. Operational pipeline telemetry."
logwatch,linux,operational,,low,Alerts.Alerts,Logwatch,Logwatch system digest,"Logwatch daily system digest - aggregated summary of authentication, mail, kernel, and service activity for the previous interval."
lsof,linux,operational,,low,,Linux,List open files command output,Output of the `lsof` command captured by Splunk_TA_nix - per-process open file and socket inventory. Useful for forensic snapshots and Network_Sessions data.
mail,linux,security,ESG,med,Email.All_Email,Linux/Unix,Mail server logs,Generic /var/log/mail catch-all for Unix MTA activity - similar to maillog with the bare facility name used by some distributions.
maillog,linux,operational,,low,Email.All_Email,Linux,Linux mail server logs,"Linux mail server log from /var/log/maillog or /var/log/mail.log - sendmail/postfix MTA activity, delivery status, and reject reasons."
mariadb:audit,app,security,,med,"Data_Access.All_Data_Access_Logs, Authentication.Authentication",MariaDB,MariaDB audit plugin logs,"MariaDB audit plugin log - per-query connect/query/table activity with username, host, command. Feeds the Change data model with database audit."
mcafee,security,security,EPP,high,Malware.Malware_Operations,McAfee,McAfee antivirus logs,"McAfee/Trellix endpoint security log - on-access scan, threat detected, exploit prevention activity from ePO-managed agents."
mcafee:epo,security,security,EPP,high,"Malware.Malware_Operations, Alerts.Alerts",McAfee,McAfee ePO managed endpoint events,"McAfee (Trellix) ePolicy Orchestrator centralized endpoint security management events: threat detections, agent check-ins, policy enforcement, and DAT signature updates from managed endpoints."
MdeExtensionHandlerLog,windows,operational,,low,,Microsoft,Microsoft Defender install logs,Microsoft Defender for Endpoint extension handler installation log on Azure VMs - extension agent activity during MDE onboarding.
MdeInstallerLog,windows,operational,,low,,Microsoft,Microsoft Defender install logs,Microsoft Defender for Endpoint installer log - per-host install/upgrade progress and errors.
MdeInstallerWrapperLog,windows,operational,,low,,Microsoft,Microsoft Defender install logs,Microsoft Defender for Endpoint installer wrapper log - wrapper script around the MDE installer with environment-prep messages.
measurements,linux,operational,,none,Performance.All_Performance,,Generic measurement data,"Generic measurement data sourcetype - per-monitoring-tool numeric samples. Performance telemetry, no CIM mapping by default."
messages,linux,operational,,low,,Linux,Linux system messages,Generic /var/log/messages catch-all syslog file - mixed facility messages on Red Hat-family hosts before journald-only deployments. CIM mappings depend on actual content.
metasploit,security,security,PTS,med,Vulnerabilities.Vulnerabilities,Rapid7,Metasploit penetration testing logs,"Rapid7 Metasploit framework log - exploit module execution, session activity, post-exploitation actions in pentesting engagements."
Microsoft.Azure.NetworkWatcher.NetworkWatcherAgentLinux-monitor.log,azure,operational,,low,,Microsoft,Azure Microsoft.Azure.NetworkWatcher.NetworkWatche,"Azure Network Watcher agent monitor log on Linux VMs - agent health, connectivity probe results, NSG rule evaluation traces."
Microsoft.Azure.RecoveryServices.VMSnapshotLinux-shell.log,linux,operational,,low,Compute_Inventory.All_Inventory,Microsoft,Azure compute data (Microsoft.Azure.RecoveryServic,Azure Site Recovery VM snapshot helper shell log on Linux VMs - snapshot pre/post hook execution and shell command results.
microsoft:defender:atp,windows,security,XDR,high,"Endpoint.Processes, Malware.Malware_Operations",Microsoft,Microsoft Defender ATP logs,Microsoft Defender for Endpoint (formerly ATP) alert and machine event data via the Splunk Add-on for Microsoft Defender ATP.
microsoft:defender:core,linux,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,Microsoft Defender for Endpoint core process and security event telemetry from the Defender agent on Windows endpoints.
microsoft_defender,linux,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,"Microsoft Defender for Endpoint primary event log - threat detections, scan results, real-time protection events."
microsoft_defender_core,linux,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,"Microsoft Defender for Endpoint core component log - signature engine activity, scan results, and definition updates."
microsoft_defender_core_err,linux,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,Microsoft Defender for Endpoint core component error log - failures within the core engine subsystem.
microsoft_defender_diagnostic,linux,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,Microsoft Defender for Endpoint diagnostic log - support/troubleshooting telemetry for the Defender agent.
microsoft_defender_diagnostic_err,linux,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,Microsoft Defender for Endpoint diagnostic error log - errors emitted by the diagnostic subsystem.
microsoft_defender_enterprise,linux,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,"Microsoft Defender for Endpoint enterprise event log - cloud-protection, EDR sensor, and policy events."
microsoft_defender_enterprise_err,linux,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,Microsoft Defender for Endpoint enterprise error log - failures in the cloud-protection and EDR sensor pipelines.
microsoft_defender_err,linux,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,Microsoft Defender for Endpoint error log - top-level agent errors not specific to a subcomponent.
microsoft_defender_mplog,linux,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,"Microsoft Defender MPLog - high-detail scan, signature lookup, and behavior monitor trace log used for deep troubleshooting."
mimecast,security,security,ESG,high,"Email.All_Email, Malware.Malware_Operations",Mimecast,Mimecast email security logs,"Mimecast email security gateway log - rejection, hold, delivery, attachment, and URL protection events. Feeds the Email data model."
mobileiron,security,operational,,med,"Compute_Inventory.All_Inventory, Authentication.Authentication",Ivanti,MobileIron MDM logs,"MobileIron (now Ivanti EPMM) MDM log - device enrollment, compliance, app distribution, and admin activity."
modular_alerts,security,operational,SIEM,med,Alerts.Alerts,Splunk,Splunk modular alert logs,"Generic Splunk modular alert action output catch-all - emitted by any custom alert action that writes back to Splunk. Routed to per-action subtypes (notable, risk, victorops, etc.) when configured."
modular_alerts:get_io_vulnerability_summary,security,security,VMS,high,Vulnerabilities.Vulnerabilities,Splunk,Splunk vulnerability summary alert,Tenable.io vulnerability summary alert output - results from the Splunk Add-on for Tenable get_io_vulnerability_summary modular alert action.
modular_alerts:notable,security,security,SIEM,high,Alerts.Alerts,Splunk,Splunk ES notable event output,Splunk Enterprise Security notable event output - records produced by the createnotable modular alert. Foundational for ES Incident Review and Risk-Based Alerting workflows.
modular_alerts:risk,security,security,SIEM,high,Alerts.Alerts,Splunk,Splunk ES risk modular alert,Splunk Enterprise Security risk modular alert output - per-event risk score assignments written to the risk index by the risk-modular alert action. Core RBA input.
modular_alerts:victorops,security,operational,,low,,Splunk,Splunk VictorOps alert action,VictorOps (Splunk On-Call) alert action output - records the dispatch of pages from Splunk searches to VictorOps. Operational alerting bridge.
mongod,app,operational,,low,Databases.Database_Logs,MongoDB,MongoDB database logs,"MongoDB mongod server log - connection, query, write, replication, and slow query messages. Operational platform health."
mongodb:audit,app,security,,med,"Data_Access.All_Data_Access_Logs, Authentication.Authentication",MongoDB,MongoDB audit log events,"MongoDB audit log - authentication, authorization, DDL, replicaset, schema operations. Critical for the Change data model."
mongodb:log,app,operational,,low,Application_State.All_Application_State,MongoDB,MongoDB general server logs,MongoDB general server log - the mongod.log content surfaced through the Splunk Add-on for MongoDB. Same scope as mongod with add-on enrichment.
ms:aad:audit,azure,security,IAM,med,Change.Audit_Logs,Microsoft,Azure Active Directory audit logs,Microsoft Entra ID (Azure AD) audit logs via the Splunk Add-on for Microsoft Cloud Services (alternate naming to azure:aad:audit).
ms:aad:signin,azure,security,IAM,high,Authentication.Authentication,Microsoft,Azure Active Directory sign-in logs,Microsoft Entra ID (Azure AD) sign-in logs via the Splunk Add-on for Microsoft Cloud Services (alternate naming to azure:aad:signin).
ms:azure:activity,azure,security,CSPM,med,Change.All_Changes,Microsoft,Azure Activity Log,Azure Activity log delivered via the Splunk Add-on for Microsoft Cloud Services modular input (alternate naming to azure:activity).
ms:azure:securitycenter,azure,security,CSPM,high,"Alerts.Alerts, Vulnerabilities.Vulnerabilities",Microsoft,Azure Security Center alerts,Microsoft Defender for Cloud alerts delivered via the Splunk Add-on for Microsoft Cloud Services.
ms:defender:alerts,security,security,EDR,high,"Alerts.Alerts, Intrusion_Detection.IDS_Attacks",Microsoft,Microsoft Defender alert data,"Microsoft Defender alert events via the Splunk Add-on - aggregated alert stream across Defender for Endpoint, Defender for Cloud Apps, Defender for Identity."
ms:defender:core,linux,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,Microsoft Defender for Endpoint core telemetry stream via the Splunk Add-on - device events backing detections and hunts.
ms:defender:ent,linux,security,EDR,high,"Endpoint.Processes, Malware.Malware_Attacks",Microsoft,Microsoft Defender endpoint data,Microsoft Defender for Endpoint enterprise event stream via the Splunk Add-on - org-wide event aggregation.
ms:defender:events,security,security,EDR,high,"Endpoint.Processes, Malware.Malware_Operations",Microsoft,Microsoft Defender event data,Microsoft Defender event data via the Splunk Add-on - investigation timeline events tied to alerts.
ms:o365:audit:all,windows,security,CASB,high,"Authentication.Authentication, Change.All_Changes",Microsoft,Office 365 audit logs,"Office 365 / Microsoft 365 Management Activity API - unified audit log across Exchange, SharePoint, OneDrive, Teams, Entra, DLP, and Power Platform."
ms:o365:audit:general,windows,security,CASB,high,"Authentication.Authentication, Change.All_Changes",Microsoft,Office 365 audit logs,Office 365 / Microsoft 365 audit log - general workload events (subset of ms:o365:audit:all).
ms:o365:security:events,windows,security,CASB,high,Alerts.Alerts,Microsoft,Office 365 security events,Office 365 / Microsoft 365 security events via the Splunk Add-on - threat-related events from Defender for Office 365.
ms:security:alerts,security,security,EDR,med,,Microsoft,Microsoft ms:security:alerts,Microsoft Graph Security API alerts delivered via the Splunk Add-on for Microsoft Security (older naming related to GraphSecurityAlert).
MSAD:NT6:DNS,windows,security,IAM,med,Network_Resolution.DNS,Microsoft,Active Directory DNS logs,"Windows DNS Server logs collected via the Splunk Add-on for Microsoft Active Directory - query, response, and error events from AD-integrated DNS."
MSAD:NT6:DNS-Zone-Information,windows,security,IAM,med,Network_Resolution.DNS,Microsoft,Active Directory DNS zone information,"AD-integrated DNS zone metadata collected via the Splunk Add-on for Microsoft Active Directory - zone names, transfer settings, replication scope."
MSAD:NT6:Netlogon,windows,security,IAM,high,Authentication.Authentication,Microsoft,AD Netlogon events,"Active Directory Netlogon service events - secure channel establishment, trust validation, NTLM pass-through authentication."
MSAD:NT6:Replication,windows,operational,,low,,Microsoft,AD replication logs,"Active Directory replication events collected via the Splunk Add-on for Microsoft Active Directory - replication partner status, USN progress, replication failures."
mscs:azure:audit,azure,security,CSPM,high,Change.All_Changes,Microsoft,Azure audit data (MSCS add-on),Azure audit data via the Splunk Add-on for Microsoft Cloud Services - subscription-level audit events from the activity log.
mscs:azure:eventhub,azure,"security, operational",,med,,Microsoft,Azure Event Hub data,Azure Event Hub data delivered through the Splunk Add-on for Microsoft Cloud Services - generic event-hub pipeline used for many downstream sourcetypes.
mscs:resource:networkInterfaceCard,azure,operational,,low,Compute_Inventory.Network,Microsoft,Azure NIC resource metadata,"Azure network interface card resource metadata via the Splunk Add-on for Microsoft Cloud Services - NIC config, IP bindings, NSG association."
mscs:resource:subscriptions,azure,operational,,low,Compute_Inventory.All_Inventory,Microsoft,Azure subscription metadata,"Azure subscription metadata via the Splunk Add-on for Microsoft Cloud Services - subscription IDs, names, state, billing scope."
mscs:resource:virtualMachine,azure,operational,,low,Compute_Inventory.All_Inventory,Microsoft,Azure virtual machine inventory,"Azure virtual machine resource metadata via the Splunk Add-on for Microsoft Cloud Services - VM size, OS, power state, attached disks/NICs."
msexchange,windows,security,ESG,med,Email.All_Email,Microsoft,Microsoft Exchange server logs,"Microsoft Exchange Server logs - SMTP message tracking, IIS logs from OWA/EWS, transport rules, and admin audit events depending on log type."
mssql,app,operational,,low,Databases.Database_Logs,Microsoft,Microsoft SQL Server logs,"Microsoft SQL Server logs - errorlog (server errors, login events, configuration changes), SQL Server Agent log, and (when enabled) Audit destinations."
mysql,app,operational,,low,Databases.Database_Logs,Oracle,MySQL database logs,"MySQL server log - error, general query, slow query content depending on monitored file. Operational and audit-grade depending on logging level."
nagios,app,operational,,none,Alerts.Alerts,Nagios,Nagios monitoring alerts,Nagios monitoring umbrella sourcetype - typically alert/host/service streams combined; prefer the subtype-specific sourcetypes.
nagios:host,app,operational,,none,Alerts.Alerts,Nagios,Nagios host check results,"Nagios host check result stream - up/down/unreachable state transitions, last-check timing."
nagios:service,app,operational,,none,Alerts.Alerts,Nagios,Nagios service check results,"Nagios service check result stream - per-service OK/warning/critical/unknown state, performance data, and notifications."
named,network,security,,med,Network_Resolution.DNS,ISC,Named DNS server logs,"ISC named (BIND) generic sourcetype - same DNS server activity as bind, with the alternative file/process-derived name."
nessus:plugin,security,operational,,low,,Tenable,Nessus plugin information,"Tenable Nessus plugin metadata - plugin family, CVE refs, CVSS, risk factor, description. Lookup data used to enrich finding events with vulnerability context."
nessus:scan,security,security,VMS,high,Vulnerabilities.Vulnerabilities,Tenable,Tenable Nessus vulnerability scan results,"Tenable Nessus scan execution log - scan start/finish, scanner host, target counts, and policy used. Operational visibility for scan job state."
nessus:scan:results,security,security,VMS,high,Vulnerabilities.Vulnerabilities,Tenable,Nessus scan result details,"Tenable Nessus per-finding results - host, plugin_id, severity, port, protocol, plugin_output. Primary Vulnerabilities data model source from standalone Nessus."
nessus_agent,security,security,VMS,med,,Tenable,Tenable Nessus agent logs,"Tenable Nessus Agent logs - locally installed agent activity, scan plugin execution, link/unlink, and update events from the agent host."
nessus_messages,security,security,VMS,low,,Tenable,Tenable Nessus scan messages,Tenable Nessus messages log - scanner-side operational and error messages distinct from the per-finding scan results. Diagnostic visibility.
netflow,network,security,,med,Network_Traffic.All_Traffic,,NetFlow network traffic data,Generic NetFlow v5/v9 flow records - 5-tuple session summaries with bytes/packets and start/end timestamps. Feeds Network_Traffic.All_Traffic.
netskope:alert,security,security,CASB,high,Alerts.Alerts,Netskope,Netskope security alerts,"Netskope security alerts - DLP, malware, anomaly, and policy violation detections from the SkopeIT API."
netskope:events,security,security,CASB,high,"Web.Web, DLP.All_Incidents, Network_Traffic.All_Traffic",Netskope,Netskope CASB/ZTNA events,"Netskope general event stream - app, page, audit, incident, and network events covering CASB/SWG/ZTNA activity."
netskope:infrastructure,security,security,CASB,med,Network_Traffic.All_Traffic,Netskope,Netskope infrastructure events,Netskope tenant infrastructure events - admin and configuration changes to the Netskope tenant. Feeds the Change data model.
netstat,linux,operational,,low,Endpoint.Ports,Linux/Unix,Network statistics output,Splunk_TA_nix `netstat` scripted input - active TCP/UDP socket inventory. Feeds Network_Sessions and Network_Traffic for endpoint visibility.
newrelic:events,app,operational,,none,"Application_State.All_Application_State, Alerts.Alerts",New Relic,New Relic event data,New Relic event data - custom event stream from New Relic Insights for application analytics correlation.
nexus:audit,app,security,,med,Change.All_Changes,Sonatype,Sonatype Nexus audit log,"Sonatype Nexus Repository audit log - user, role, repository, and security configuration changes."
nfsiostat,linux,operational,,none,Performance.Storage,,System performance metrics,Splunk_TA_nix nfsiostat scripted input - NFS client per-mount I/O latency and throughput. Performance telemetry.
nginx,app,security,,med,Web.Web,NGINX,NGINX web server logs,NGINX web server umbrella sourcetype - prefer nginx:access / nginx:error for parsed extractions. Feeds the Web data model.
nginx:access,app,security,,med,Web.Web,NGINX,NGINX access logs,"NGINX access log (default combined format) - per-request method, URI, status, bytes, user-agent, referer. Feeds the Web data model."
nginx:error,app,security,,med,Web.Web,NGINX,NGINX error logs,"NGINX error log - module/worker errors, upstream failures, configuration warnings."
nmap,security,security,VMS,med,Vulnerabilities.Vulnerabilities,Nmap,Nmap network scan results,"Nmap scan results - host discovery, port states, service banners, OS detection. Feeds the Vulnerabilities and Inventory data models depending on scan profile."
nomad,app,operational,,med,Change.All_Changes,HashiCorp,HashiCorp Nomad orchestration logs,"HashiCorp Nomad orchestrator log - job submission, allocation placement, task state transitions across the cluster."
nozomi:alert,security,security,,high,"Alerts.Alerts, Network_Traffic.All_Traffic",Nozomi Networks,Nozomi OT/IoT security alerts,"Nozomi Networks Guardian / Vantage OT/IoT alert - protocol anomaly, asset anomaly, and threat detection on ICS/OT networks."
ntp,linux,operational,,low,Change.All_Changes,,NTP time synchronization logs,"Generic NTP daemon (ntpd) log - peer state changes, stratum shifts, offset/drift updates. Operational with SIEM-timeline integrity relevance."
o365,windows,security,CASB,high,"Email.All_Email, Authentication.Authentication",Microsoft,Office 365 logs,Office 365 / Microsoft 365 logs (generic prefix). Often used before more specific sourcetypes were introduced; covers Management Activity API events.
o365:graph:api,windows,security,IAM,med,,Microsoft,Office 365 Graph API data,"Microsoft Graph API responses captured by Office 365 integrations - users, groups, mail, files, security alerts depending on endpoint queried."
o365:management:activity,windows,security,CASB,high,"Authentication.Authentication, Change.All_Changes, Email.All_Email",Microsoft,Office 365 management activity logs,"Office 365 / Microsoft 365 Management Activity API audit events across Exchange, SharePoint, OneDrive, Teams, Entra, DLP, and Power Platform workloads."
okta:system:log,security,security,IAM,high,"Authentication.Authentication, Change.All_Changes",Okta,Okta System Log (newer API),"Okta System Log API v1 events - the predecessor naming convention to OktaIM2:log. Same per-event audit stream of authentication, lifecycle, policy, and admin activity."
OktaIM2:app,security,security,IAM,med,,Okta,Okta application data,"Okta Identity Management (IM2) application inventory - registered applications with sign-on policies, settings, and assignment counts. Identity_Management data model contributor."
OktaIM2:appUser,security,security,IAM,med,,Okta,Okta application data,Okta IM2 application user assignment records - per-user app entitlements and scoped attributes. Critical for access certification and entitlement review.
OktaIM2:group,security,security,IAM,med,,Okta,Okta group data,Okta IM2 group inventory - group definitions and rule-based vs. static membership metadata.
OktaIM2:groupUser,security,security,IAM,med,Compute_Inventory.User,Okta,Okta user data,Okta IM2 group membership records - user-to-group mappings used for downstream entitlement enrichment.
OktaIM2:log,security,security,IAM,high,"Alerts.Alerts, Authentication.Authentication, Change.All_Changes",Okta,Okta identity management logs,"Okta IM2 System Log events - the per-event audit stream covering authentication, lifecycle, policy, and admin activity. Primary Okta Authentication/Change source."
OktaIM2:user,security,security,IAM,med,Compute_Inventory.User,Okta,Okta user data,"Okta IM2 user inventory - user attributes, status, last login, custom profile fields. Feeds Identity_Management data model."
onedrive,windows,security,CASB,med,"Change.All_Changes, Authentication.Authentication",Microsoft,OneDrive cloud storage logs,"Microsoft OneDrive activity - file access, share, download, delete events typically sourced from the M365 audit log."
