signature_id,signature
377-210203334,Data Loss Prevention (DLP) installation status - Uninstalled
377-210204,Avira installation status
377-210204330,Avira installation status - Installed
377-210204331,Avira installation status - Evaluation period started
377-210204332,Avira installation status - Evaluation period expired
377-210204333,Avira installation status - End of evaluation period approaching
377-210204334,Avira installation status - Uninstalled
377-210205,CommtouchÂ® Command installation status
377-210205330,CommtouchÂ® Command installation status - Installed
377-210205331,CommtouchÂ® Command installation status - Evaluation period started
377-210205332,CommtouchÂ® Command installation status - Evaluation period expired
377-210205333,CommtouchÂ® Command installation status - End of evaluation period approaching
377-210205334,CommtouchÂ® Command installation status - Uninstalled
377-210301,URL reputation database update made changes
377-210301342,URL reputation database update made changes - Successfully updated DATs/rules
377-210302,URL reputation database update. No change
377-210302327,URL reputation database update. No change - Appliance already up-to-date
377-210303,URL reputation database update failed
377-210303620,URL reputation database update failed - Download of updates failed
377-210303344,URL reputation database update failed - Unable to install new DATs/rules
377-210303621,URL reputation database update failed - Informational message from update
377-210303622,URL reputation database update failed - Warning message from update
377-210303391,URL reputation database update failed - A system command failed
377-210304,URL reputation database update interrupted
377-210305,URL reputation database update information
377-210305621,URL reputation database update information - Informational message from update
377-210305622,URL reputation database update information - Warning message from update
377-210400,Gateway evaluation status
377-210400332,Gateway evaluation status - Evaluation period expired
377-210400333,Gateway evaluation status - End of evaluation period approaching
377-210500,Package update
377-210500633,Package update - Package downloaded
377-210500634,Package update - Unable to download package
377-210500635,Package update - Package installed
377-210500636,Package update - Unable to install package
377-210501,Package update. Critical package available
377-210502,Package update. Recommended package available
377-210503,Package update. Package available
377-210600,Secure shell (SSH) configuration changed
377-210600637,Secure shell (SSH) configuration changed - Enabled
377-210600638,Secure shell (SSH) configuration changed - Disabled
377-210700,Appliance SNMP heartbeat
377-210800,Data Loss Prevention (DLP) update
377-210800691,Data Loss Prevention (DLP) update - The DLP database has been updated
377-210800694,Data Loss Prevention (DLP) update - The DLP database update has started
377-210800690,Data Loss Prevention (DLP) update - The DLP database was replaced
377-210800692,Data Loss Prevention (DLP) update - The DLP database was cleared
377-210801,Data Loss Prevention (DLP) Classification change
377-210801695,Data Loss Prevention (DLP) Classification change - A classification has been added
377-210801696,Data Loss Prevention (DLP) Classification change - A classification has been removed
377-210802,Data Loss Prevention (DLP) database update failed
377-210802693,Data Loss Prevention (DLP) database update failed - The DLP database update failed
377-210802798,Data Loss Prevention (DLP) database update failed - DLP is not enabled
377-210803,Data Loss Prevention (DLP) master database disk space is low
377-210803693,Data Loss Prevention (DLP) master database disk space is low - The DLP database update failed
377-210804,ePO policy enforced
377-210804792,ePO policy enforced - Config applied
377-210805,ePO policy unchanged
377-210805327,ePO policy unchanged - Appliance already up-to-date
377-210806,ePO policy enforcement failed
377-210806793,ePO policy enforcement failed - Could not create session for config apply
377-210806795,ePO policy enforcement failed - Session configuration directory missing
377-210806796,ePO policy enforcement failed - Cannot create temporary files/directories for ePO policy push
377-210806797,ePO policy enforcement failed - Policy push from ePO not enabled
377-210806794,ePO policy enforcement failed - Session configuration directory missing
377-210806799,ePO policy enforcement failed - Configuration received from ePO is not compatible
377-210806848,ePO policy enforcement failed - McAfee SaaS Email Protection Service client certificate invalid
377-210806905,ePO policy enforcement failed - Configuration received from ePO is incomplete
377-210807,ePO policy enforced with warnings
377-210807792,ePO policy enforced with warnings - Config applied
377-800000,Event s were lost due to system overloading
377-800001,Event queue has recovered
377-800002,Event s failed to be delivered via the network
377-900000,Execution trace
377-900001,Dummy high severity debug event
377-900002,Logs from McAfee GTI message reputation
377-900002768,Logs from McAfee GTI message reputation - Log Everything passed on by McAfee GTI message reputation if enabled
377-990000,An unhandled exception occurred
377-990001,Gateway application has failed
377-990001525,Gateway application has failed - The application has had a segmentation violation
377-990001526,Gateway application has failed - The application has had a process abort signal
377-220000,User logon
377-220000354,User logon - Logon successful
377-220000355,User logon - Logon failed
377-220001,User logoff
377-220001356,User logoff - The user logged off
377-220001357,User logoff - The session has expired
377-220002,Appliance has been rebooted or stopped
377-220002358,Appliance has been rebooted or stopped - The appliance has been stopped
377-220002359,Appliance has been rebooted or stopped - The appliance has been rebooted
377-220003,Appliance date changed
377-220003360,Appliance date changed - Date change successful
377-220004,Password changed
377-220004361,Password changed - Password change successful
377-220005,Logs saved
377-220005362,Logs saved - The logs have been saved
377-220006,Appliance configuration saved
377-220006363,Appliance configuration saved - The appliance's configuration files have been saved
377-220006906,Appliance configuration saved - The appliance's certificate files have been saved
377-220007,User interface started
377-220007364,User interface started - The user interface backend has started
377-220008,User interface stopped
377-220008365,User interface stopped - The user interface backend has stopped
377-220009,Applying new configuration
377-220010,Finished applying new configuration
377-220011,Configuration changed
377-220012,User accounts/roles modified
377-220012738,User accounts/roles modified - User added
377-220012739,User accounts/roles modified - User modified
377-220012740,User accounts/roles modified - User removed
377-220012741,User accounts/roles modified - User role added
377-220012742,User accounts/roles modified - User role modified
377-220012743,User accounts/roles modified - User role removed
377-220050,SSL error when accessing the user interface
377-220050831,SSL error when accessing the user interface - SSL/TLS error in the httpd daemon
377-220051,SSL connection state changed
377-220051832,SSL connection state changed - SSL/TLS connection established
377-220051833,SSL connection state changed - SSL/TLS connection closed
377-220070,Email Hybrid provisioning successful
377-220070845,Email Hybrid provisioning successful - Registration with the McAfee SaaS Email Protection Service succeeded
377-220071,Email Hybrid provisioning failed
377-220071846,Email Hybrid provisioning failed - Registration with the McAfee SaaS Email Protection Service failed
377-220072,Email Hybrid deprovisioned
377-220072847,Email Hybrid deprovisioned - Unregistered from the McAfee SaaS Email Protection Service
377-220100,User blacklist & whitelist updated
377-220100592,User blacklist & whitelist updated - A local copy of the user blacklists & whitelists has been taken
377-220100591,User blacklist & whitelist updated - Unable to take a local copy of the user blacklists & whitelists
377-220100593,User blacklist & whitelist updated - An error occurred obtaining user blacklist & whitelist XML data
377-220150,Configuration back up
377-220150785,Configuration back up - Backup failed
377-220150786,Configuration back up - Backup successful
377-220160,Log to file archival
377-220160785,Log to file archival - Backup failed
377-220160786,Log to file archival - Backup successful
377-220180,User has viewed an audit trail
377-220180810,User has viewed an audit trail - Email report generated
377-220180811,User has viewed an audit trail - System report generated
377-220180812,User has viewed an audit trail - Scheduled report generated
377-220180813,User has viewed an audit trail - Configuration change log generated
377-220210,Quarantine digests
377-220210512,Quarantine digests - Digest generation started
377-220210511,Quarantine digests - Unable to generate the email digest
377-220210510,Quarantine digests - An email digest has been generated
377-220210513,Quarantine digests - Digest generation was successful
377-220210515,Quarantine digests - A digest generator is already running
377-220210514,Quarantine digests - Digest generation failed
377-230000,Failed to transfer data from the McAfee Quarantine Manager server
377-230000598,Failed to transfer data from the McAfee Quarantine Manager server - Unable to create a file on disk
377-23000074,Failed to transfer data from the McAfee Quarantine Manager server - Reading data from the network
377-230000203,Failed to transfer data from the McAfee Quarantine Manager server - Unable to write file to disk
377-230000107,Failed to transfer data from the McAfee Quarantine Manager server - Creation of an object has failed
377-230001,Failed to connect to the McAfee Quarantine Manager server
377-230001599,Failed to connect to the McAfee Quarantine Manager server - Unable to bind
377-230001600,Failed to connect to the McAfee Quarantine Manager server - Unable to initialize the McAfee Quarantine Manager client
377-230002,Failed to transfer data to the McAfee Quarantine Manager server
377-230002601,Failed to transfer data to the McAfee Quarantine Manager server - Unable to store the email
377-230002602,Failed to transfer data to the McAfee Quarantine Manager server - Email deleted after exceeding maximum retry period
377-230003,Failed to update the local blacklist and whitelist database from McAfee Quarantine Manager
377-230003630,Failed to update the local blacklist and whitelist database from McAfee Quarantine Manager - Unable to import the blacklists and whitelists into an  LDAP repository
377-230004,Successful update of the local blacklist and whitelist database from McAfee Quarantine Manager
10000,Gateway application status
1000046,Gateway application status - Application has started
1000049,Gateway application status - Application was terminated due to an invalid argument
1000050,Gateway application status - Argument was missing a value
1000051,Gateway application status - Unable to create a process
1000057,Gateway application status - Unable to set the process to run as the specific user
1000058,Gateway application status - Unable to set the process to run as the specific group
1000056,Gateway application status - Unable to obtain the user identification
1000052,Gateway application status - Network application was started
1000053,Gateway application status - Network application has finished
1000054,Gateway application status - Process that listens for protocol requests was started
1000055,Gateway application status - Process that listens for protocol requests has terminated
1000071,Gateway application status - Process has handled its maximum number of connections
1000070,Gateway application status - Process exceeded its maximum memory size
1000059,Gateway application status - Process that listens for protocol requests cannot start
10001,Gateway network listener
1000163,Gateway network listener - Attempting to create a network listener port
1000160,Gateway network listener - Unable to create a network listener port
1000161,Gateway network listener - Successfully created a network listener port
1000162,Gateway network listener - Listener port was shutdown
10002,Failed to create connection
1000264,Failed to create connection - Unable to create a new connection object
10003,Connection status
1000365,Connection status - New connection data set up
1000366,Connection status - Connection queued for processing
1000368,Connection status - Connection is being processed
1000369,Connection status - Connection processing complete
12000,Connection failed
12000114,Connection failed - Unable to obtain network socket
120006,Connection failed - Timed out
120007,Connection failed - No one listening on the remote address
120009,Connection failed - Network is unreachable
1200010,Connection failed - Multiple routes to remote address
1200011,Connection failed - Unable to resolve remote host name
1200034,Connection failed - Operation now in progress
1200012,Connection failed - Connection loop detected
1200035,Connection failed - Connection has been closed by the remote host
120008,Connection failed - The application has failed
12002,Information dump
1200272,Information dump - State of an object
1200273,Information dump - Writing data to the network
1200274,Information dump - Reading data from the network
15000,Policy
15000211,Policy - Message has matched multiple policies
15000212,Policy - Selecting base policy. Message exceeded the maximum number of policies that can be matched
15001,LDAP Query failed
15001378,LDAP Query failed - Unable to get the results from the group query
15001379,LDAP Query failed - Unable to get the results for an identity import
15001531,LDAP Query failed - Protocol error
15001532,LDAP Query failed - Time limit exceeded
15001533,LDAP Query failed - Size limit exceeded
15001534,LDAP Query failed - Compare false
15001535,LDAP Query failed - Compare true
15001536,LDAP Query failed - Authentication method not supported
15001537,LDAP Query failed - Strong authentication required
15001538,LDAP Query failed - Partial results and referral received
15001539,LDAP Query failed - Referral
15001540,LDAP Query failed - Administration limit exceeded
15001541,LDAP Query failed - Critical extension is unavailable
15001542,LDAP Query failed - Confidentiality required
15001543,LDAP Query failed - SASL bind in progress
15001544,LDAP Query failed - No such attribute
15001545,LDAP Query failed - Undefined attribute type
15001546,LDAP Query failed - Inappropriate matching
15001547,LDAP Query failed - Constraint violation
15001548,LDAP Query failed - Type or value exists
15001549,LDAP Query failed - Invalid syntax
15001550,LDAP Query failed - No such object
15001551,LDAP Query failed - Alias problem
15001552,LDAP Query failed - Invalid DN syntax
15001553,LDAP Query failed - Is leaf
15001554,LDAP Query failed - Alias dereference problem
15001555,LDAP Query failed - Inappropriate authentication
15001556,LDAP Query failed - Invalid credentials
15001557,LDAP Query failed - Insufficient access
15001558,LDAP Query failed - Server is busy
15001530,LDAP Query failed - Operations error
15001559,LDAP Query failed - Server is unavailable
15001560,LDAP Query failed - Server is unwilling to perform
15001561,LDAP Query failed - Loop detect
15001562,LDAP Query failed - Naming violation
15001563,LDAP Query failed - Object class violation
15001564,LDAP Query failed - Not allowed on non-leaf
15001565,LDAP Query failed - Not allowed on RDN
15001566,LDAP Query failed - Already exists
15001567,LDAP Query failed - No object class mods
15001568,LDAP Query failed - Results too large
15001569,LDAP Query failed - Affects multiple DSAS
15001570,LDAP Query failed - Other
15001571,LDAP Query failed - Cannot contact LDAP server
15001572,LDAP Query failed - Local error
15001573,LDAP Query failed - Encoding error
15001574,LDAP Query failed - Decoding error
15001575,LDAP Query failed - Timeout
15001576,LDAP Query failed - Unknown authentication method
15001577,LDAP Query failed - Search filter error
15001578,LDAP Query failed - User cancelled
15001579,LDAP Query failed - Parameter error
15001580,LDAP Query failed - Out of memory
15001581,LDAP Query failed - Connect error
15001582,LDAP Query failed - Not supported
15001583,LDAP Query failed - Control not found
15001584,LDAP Query failed - No results returned
15001585,LDAP Query failed - More results to return
15001586,LDAP Query failed - Client loop
15001587,LDAP Query failed - Referral limit exceeded
15003,Failed to generate a list of identities
15003378,Failed to generate a list of identities - Unable to get the results from the group query
15003379,Failed to generate a list of identities - Unable to get the results for an identity import
15007,LDAP directory synchronisation status
15007764,LDAP directory synchronisation status - Directory Sync has started
15007765,LDAP directory synchronisation status - Directory Sync has finished
15007771,LDAP directory synchronisation status - LDAP Sync group query failed
15007772,LDAP directory synchronisation status - Failed to sync the mail list
15007773,LDAP directory synchronisation status - Failed to sync the web list
15007774,LDAP directory synchronisation status - Failed to obtain information for an email address
15007775,LDAP directory synchronisation status - Failed to obtain information for a web user
15008,LDAP directory sync failed
15008378,LDAP directory sync failed - Unable to get the results from the group query
15008379,LDAP directory sync failed - Unable to get the results for an identity import
15008531,LDAP directory sync failed - Protocol error
15008532,LDAP directory sync failed - Time limit exceeded
15008533,LDAP directory sync failed - Size limit exceeded
15008534,LDAP directory sync failed - Compare false
15008535,LDAP directory sync failed - Compare true
15008536,LDAP directory sync failed - Authentication method not supported
15008537,LDAP directory sync failed - Strong authentication required
15008538,LDAP directory sync failed - Partial results and referral received
15008539,LDAP directory sync failed - Referral
15008540,LDAP directory sync failed - Administration limit exceeded
15008541,LDAP directory sync failed - Critical extension is unavailable
15008542,LDAP directory sync failed - Confidentiality required
15008543,LDAP directory sync failed - SASL bind in progress
15008544,LDAP directory sync failed - No such attribute
15008545,LDAP directory sync failed - Undefined attribute type
15008546,LDAP directory sync failed - Inappropriate matching
15008547,LDAP directory sync failed - Constraint violation
15008548,LDAP directory sync failed - Type or value exists
15008549,LDAP directory sync failed - Invalid syntax
15008550,LDAP directory sync failed - No such object
15008551,LDAP directory sync failed - Alias problem
15008552,LDAP directory sync failed - Invalid DN syntax
15008553,LDAP directory sync failed - Is leaf
15008554,LDAP directory sync failed - Alias dereference problem
15008555,LDAP directory sync failed - Inappropriate authentication
15008556,LDAP directory sync failed - Invalid credentials
15008557,LDAP directory sync failed - Insufficient access
15008558,LDAP directory sync failed - Server is busy
15008530,LDAP directory sync failed - Operations error
15008559,LDAP directory sync failed - Server is unavailable
15008560,LDAP directory sync failed - Server is unwilling to perform
15008561,LDAP directory sync failed - Loop detect
15008562,LDAP directory sync failed - Naming violation
15008563,LDAP directory sync failed - Object class violation
15008564,LDAP directory sync failed - Not allowed on non-leaf
15008565,LDAP directory sync failed - Not allowed on RDN
15008566,LDAP directory sync failed - Already exists
15008567,LDAP directory sync failed - No object class mods
15008568,LDAP directory sync failed - Results too large
15008569,LDAP directory sync failed - Affects multiple DSAS
15008570,LDAP directory sync failed - Other
15008571,LDAP directory sync failed - Cannot contact LDAP server
15008572,LDAP directory sync failed - Local error
15008573,LDAP directory sync failed - Encoding error
15008574,LDAP directory sync failed - Decoding error
15008575,LDAP directory sync failed - Timeout
15008576,LDAP directory sync failed - Unknown authentication method
15008577,LDAP directory sync failed - Search filter error
15008578,LDAP directory sync failed - User cancelled
15008579,LDAP directory sync failed - Parameter error
15008580,LDAP directory sync failed - Out of memory
15008581,LDAP directory sync failed - Connect error
15008582,LDAP directory sync failed - Not supported
15008583,LDAP directory sync failed - Control not found
15008584,LDAP directory sync failed - No results returned
15008585,LDAP directory sync failed - More results to return
15008586,LDAP directory sync failed - Client loop
15008587,LDAP directory sync failed - Referral limit exceeded
16000,The proxy was in the scanner for too long - process stopped
18000,Product lifetime
18000403,Product lifetime - Product has reached end-of-life
18000404,Product lifetime - Product is nearing end-of-life
19000,Protocol conversation
1900098,Protocol conversation - Attempting a connection to the onward server
19000113,Protocol conversation - Unable to establish a connection to the onward server
1900097,Protocol conversation - Established a connection with the onward server
1900099,Protocol conversation - Client Request
19000100,Protocol conversation - Appliance Request
19000101,Protocol conversation - Server Response
19000102,Protocol conversation - Appliance Response
19000760,Protocol conversation - The undeliverable domain email was silently dropped
19001,SSL certificate conversation failed
19001221,SSL certificate conversation failed - No certificate available
19001222,SSL certificate conversation failed - No fd connection
19001223,SSL certificate conversation failed - SSL certificate verification failed on ACCEPT handshake
19001224,SSL certificate conversation failed - SSL certificate verification failed on CONNECT handshake
19001761,SSL certificate conversation failed - Connection certificate is revoked by the certificate authority
19002,SSL certificate initialization
19002226,SSL certificate initialization - Certificate loaded
19003,SSL certificates initialization failed
19003227,SSL certificates initialization failed - Missing certificate or key file
19003228,SSL certificates initialization failed - SSL error using key file
19003229,SSL certificates initialization failed - SSL error using certificate file
19003230,SSL certificates initialization failed - SSL Certificate load failed
19003241,SSL certificates initialization failed - SSL Certificate cipher load failed
30000,HTTP request denied
3000095,HTTP request denied - The verb is not permitted
30000139,HTTP request denied - The request scheme is not permitted
30000141,HTTP request denied - The port number is not permitted
30000163,HTTP request denied - NTLM is not supported in explicit proxy mode
30000164,HTTP request denied - NTLM is not supported when persistent connections are not enabled
30000180,HTTP request denied - Client is not permitted to connect to this appliance
30000181,HTTP request denied - Request not permitted
30000345,HTTP request denied - HTML SCRIPT tags have been removed
30000346,HTTP request denied - HTML APPLET tags have been removed
30000347,HTTP request denied - HTML ActiveX tags have been removed
30000348,HTTP request denied - Uploaded data has been altered in an unknown manner
30000588,HTTP request denied - Proxy requests are forbidden
30000589,HTTP request denied - Requests from the client user-agent are forbidden
30000590,HTTP request denied - The content-type of the data being transferred is forbidden
30000594,HTTP request denied - The data being uploaded contains forbidden content
30000672,HTTP request denied - Cannot authenticate HTTP 0.9 requests. Requests denied
30000701,HTTP request denied - Access to the requested type of instant messaging is forbidden
30001,HTTP protocol conversation error
30001121,HTTP protocol conversation error - The request header is invalid
30001122,HTTP protocol conversation error - The response header is invalid
30001143,HTTP protocol conversation error - The request header is too big
30001144,HTTP protocol conversation error - The request header has too many header lines
30001210,HTTP protocol conversation error - The URL requested from a proxy mode client does not have a path
30001405,HTTP protocol conversation error - The URL requested from an explicit proxy mode client is invalid
30001162,HTTP protocol conversation error - Error serving internal URL
30001187,HTTP protocol conversation error - Unable to initialize the SSL sub-system
30001190,HTTP protocol conversation error - The response header is too big
30001191,HTTP protocol conversation error - The response header has too many header lines
30001351,HTTP protocol conversation error - Data trickling aborted due to modification by scanner
30001352,HTTP protocol conversation error - Data trickling aborted due to replacement by scanner
30001366,HTTP protocol conversation error - There was a protocol error during the transfer of chunked data
30001376,HTTP protocol conversation error - Unable to transfer SSL data
30001397,HTTP protocol conversation error - Unable to send data to the client
30001396,HTTP protocol conversation error - The client has closed the network conection to the appliance
30001395,HTTP protocol conversation error - The conection was closed before all the expected data was received
30001393,HTTP protocol conversation error - Unable to read the request body from the client
30001394,HTTP protocol conversation error - Unable to send the request body to the server
30002,HTTP protocol conversation success
30003,FTP over HTTP protocol conversation error
30003184,FTP over HTTP protocol conversation error - Unable to log on to the FTP server
30003185,FTP over HTTP protocol conversation error - The FTP service is not available
30003192,FTP over HTTP protocol conversation error - A line returned from the FTP server is too long
30003186,FTP over HTTP protocol conversation error - The FTP download failed
30003193,FTP over HTTP protocol conversation error - FTP upload failed
30003367,FTP over HTTP protocol conversation error - Error reading FTP directory listing data from the server
30003368,FTP over HTTP protocol conversation error - Error sending FTP directory listing data to the client
30003369,FTP over HTTP protocol conversation error - Unable to send FTP command to the server
30003370,FTP over HTTP protocol conversation error - Unable to read FTP response from the server
30003371,FTP over HTTP protocol conversation error - FTP server has returned an unexpected response code
30003372,FTP over HTTP protocol conversation error - Unable to parse the response from the FTP server
30003373,FTP over HTTP protocol conversation error - Unable to parse the passive port number from the FTP server response
30003374,FTP over HTTP protocol conversation error - Unable to establish an active FTP connection to the server
30003375,FTP over HTTP protocol conversation error - Unable to parse the returned FTP directory listing text
30003629,FTP over HTTP protocol conversation error - The passive port number from the FTP server response is forbidden
30004,FTP over HTTP protocol conversation was successful
30004194,FTP over HTTP protocol conversation was successful - FTP upload succeeded
30005,HTTP proxy error
30005392,HTTP proxy error - Input/output error
30005377,HTTP proxy error - Memory allocation error
30005398,HTTP proxy error - Error in download status page processing
30006,HTTP proxy configuration error
30006529,HTTP proxy configuration error - Unable to compile a regular expression
30006643,HTTP proxy configuration error - Unable to determine the authentication broker
30006660,HTTP proxy configuration error - Unable to open a required file
30006661,HTTP proxy configuration error - Unable to parse the configuration information
30007,Authentication action
30007639,Authentication action - The client is being redirected for authorization
30007644,Authentication action - Unable to parse the authorization cookie
30007645,Authentication action - The authorization cookie MD5 does not match
30007646,Authentication action - The authorization cookie version is invalid
30007647,Authentication action - The authorization cookie has expired
30007648,Authentication action - There are no cookies in the header
30007649,Authentication action - There are no authorization cookies in the header
30007650,Authentication action - No authorization cookies authenticated correctly
30007651,Authentication action - Received redirection from authentication broker
30007653,Authentication action - Error in the response from the authentication server
30007654,Authentication action - Redirect to original URL after successful authorization
30007655,Authentication action - Unable to handle an authentication handoff request
50002,Protocol conversation error
5000213,Protocol conversation error - Unrecognized Command
5000214,Protocol conversation error - Duplicate HELO
5000215,Protocol conversation error - Syntax Error
5000216,Protocol conversation error - Duplicate MAIL FROM
5000217,Protocol conversation error - MAIL FROM command was received after RCPT TO
5000218,Protocol conversation error - RCPT TO command was received before MAIL FROM
50002233,Protocol conversation error - STARTTLS after MAIL FROM
5000233,Protocol conversation error - DATA Command received before RCPT TO
5000219,Protocol conversation error - Invalid sender email address
50002182,Protocol conversation error - Invalid recipient email address
5000220,Protocol conversation error - From sender is postmaster
5000222,Protocol conversation error - Command is not implemented
50002198,Protocol conversation error - Postmaster address is invalid
50002205,Protocol conversation error - MAIL FROM Command received before HELO of EHLO
50002411,Protocol conversation error - DATA command received after BDAT
50002220,Protocol conversation error - MAIL FROM command received before mandatory STARTTLS
50002721,Protocol conversation error - Address masquerading error
50002875,Protocol conversation error - TLS is mandatory for the recipient
50002876,Protocol conversation error - TLS is forbidden for the recipient
50003,Denial-of-service check triggered
5000331,Denial-of-service check triggered - Maximum number of trivial commands has been exceeded
5000342,Denial-of-service check triggered - Command length exceeded a configured limit
50003103,Denial-of-service check triggered - Too many AUTH conversation commands
5000343,Denial-of-service check triggered - Average data throughput is lower than a  configured limit
5000321,Denial-of-service check triggered - Maximum number of recipients has been exceeded
5000345,Denial-of-service check triggered - Configuration limit has been exceeded. SMTP will return 421 until a QUIT is received
50004,DATA phase error
5000439,DATA phase error - Maximum email size exceeded
5000440,DATA phase error - Maximum line length exceeded
5000441,DATA phase error - Maximum number of hops exceeded
50005,Logging of the email status during processing
50005418,Transport log. Receive and first delivery - Email dropped. The server is no longer available
50005419,Transport log. Receive and first delivery - Email dropped. The client is no longer available
5000575,Transport log. Receive and first delivery - The email has been received
50005306,Transport log. Receive and first delivery - Email accepted and dropped
50005305,Transport log. Receive and first delivery - Email blocked with SMTP Code 550
50005420,Transport log. Receive and first delivery - Email blocked with SMTP Code 550. Connection closed
5000579,Transport log. Receive and first delivery - Email Rejected
5000578,Transport log. Receive and first delivery - Email Accepted
50005215,Transport log. Receive and first delivery - The email is deferred for scanning
50005214,Transport log. Receive and first delivery - The email is deferred for delivery after scanning
50005183,Transport log. Receive and first delivery - Retryer is attempting delivery
50005213,Transport log. Receive and first delivery - Retryer is attempting scan
50005506,Transport log. Receive and first delivery - The email has been rejected due to directory harvesting
50005702,Transport log. Receive and first delivery - DNS 'TXT' record lookup is done
50005703,Transport log. Receive and first delivery - Short circuit check performed
50005704,Transport log. Receive and first delivery - Behind MTA check performed
50005705,Transport log. Receive and first delivery - Sender authentication/Real-time Blackhole List check performed
50005706,Transport log. Receive and first delivery - Sender authentication/PTIN check performed
50005707,Transport log. Receive and first delivery - Sender authentication/SPF classic check performed
50005708,Transport log. Receive and first delivery - Sender authentication/SenderID check performed
50005709,Transport log. Receive and first delivery - Sender authentication/DKIM signature verification performed
5000583,Transport log. Receive and first delivery - Email Deferred
50005506,Transport log. Receive and first delivery - The email has been rejected due to directory harvesting
50005820,Transport log. Receive and first delivery - Forward confirmed reverse DNS checking
50006,Email Status
5000677,Email Status - Email Delivered
5000683,Email Status - Email Deferred
50006737,Email Status - The undeliverable email has been bounced
5000679,Email Status - Email Rejected
50006901,Email Status - The appliance is unable to deliver an email and configuration forbids sending an NDR
50006305,Email Status - Email blocked with SMTP Code 550
50006306,Email Status - Email accepted and dropped
50006420,Email Status - Email blocked with SMTP Code 550. Connection closed
5000684,Email Status - Email Deferred due to a response from the onward connection
5000686,Email Status - The email is deferred. Delivery has not been attempted
5000687,Email Status - The email is deferred. Timeout while attempting connection
5000688,Email Status - The email is deferred. Nothing listening on the remote address
5000689,Email Status - The email is deferred. Network is unreachable
50006115,Email Status - The undeliverable email has been bounced
50006116,Email Status - The undeliverable email has been bounced and dropped due to empty sender address
50006335,Email Status - The email has been bounced due to a loop back destination
50006309,Email Status - The bounced email has been dropped due to multiple bounces.
50006130,Email Status - Sender denied due to Real-time Blackhole List check
50006131,Email Status - Sender accepted and dropped due to Real-time Blackhole List check
50006132,Email Status - Sender denied due to Anti-spam deny list match for connecting IP address
50006133,Email Status - Sender accepted and dropped due to Anti-spam deny list match for connecting IP address
50006134,Email Status - Sender denied due to Anti-spam deny list match for sender email address
50006135,Email Status - Sender accepted and dropped due to Anti-spam deny list match for sender email address
50006124,Email Status - Recipient denied due to Anti-Relay deny list match
50006125,Email Status - Recipient denied. Not in Permit Relay list
50006126,Email Status - Recipient accepted and dropped. Denied by Anti-Relay
50006127,Email Status - Recipient accepted and dropped. Not in Permit Relay list
50006216,Email Status - Sender has been denied due to routing characters
50006217,Email Status - Sender accepted and dropped due to routing characters
50006128,Email Status - Recipient denied due to routing character
50006129,Email Status - Recipient accepted and dropped due to routing character
50006628,Email Status - The non-deliverable email has been bounced and dropped due to configuration
50006225,Email Status - SSL certificate error
50007,Denied by anti-relay
50007124,Denied by anti-relay - Recipient denied due to Anti-Relay deny list match
50007125,Denied by anti-relay - Recipient denied. Not in Permit Relay list
50007126,Denied by anti-relay - Recipient accepted and dropped. Denied by Anti-Relay
50007127,Denied by anti-relay - Recipient accepted and dropped. Not in Permit Relay list
50007128,Denied by anti-relay - Recipient denied due to routing character
50007129,Denied by anti-relay - Recipient accepted and dropped due to routing character
50007216,Denied by anti-relay - Sender has been denied due to routing characters
50007217,Denied by anti-relay - Sender accepted and dropped due to routing characters
50008,Sender authentication. Denied list triggered
50008253,Sender authentication. Denied list triggered - Accept and drop
50008254,Sender authentication. Denied list triggered - Reject
50008255,Sender authentication. Denied list triggered - Reject and close the connection
50008256,Sender authentication. Denied list triggered - Reject
50009,Delivery
50009136,Delivery - The email address is an Address Literal (that is
50009123,Delivery - The email address matched a domain relay delivery rule
500095124,Delivery - The email address matched a fallback relay delivery rule.
50009421,Delivery - The email address matched an LDAP delivery rule
50009137,Delivery - DNS 'MX' record lookup successful
50009138,Delivery - DNS 'A' record lookup successful
50009422,Delivery - Scanner hit email routed to policy based relay
50009423,Delivery - Allowed through email routed to policy based relay
50010,DNS lookup failed
50010199,DNS lookup failed - Non-existent domain
50010200,DNS lookup failed - No DNS 'MX' records
50010201,DNS lookup failed - Server Failure
50010202,DNS lookyouup failed - No DNS 'A' records
50011,Timeout occurred
5001138,Timeout occurred - Command timed out
5001144,Timeout occurred - DATA phase read time exceeded a configured limit
50012,Quarantine
50012307,Quarantine - Email delivered to quarantine
5001272,Quarantine - State of an object
50013,Sender authentication. Permit/deny list information
50013313,Sender authentication. Permit/deny list information - Due to permit list match
50014,Permitted by anti-relay rule
50014313,Permitted by anti-relay rule - Due to permit list match
50014315,Permitted by anti-relay rule - Due to Anti-Relay local list match
50014316,Permitted by anti-relay rule - Due to open relay
50015,Directory harvest check triggered
50015406,Directory harvest check triggered - No action because the client is in the permit list
50015407,Directory harvest check triggered - Tarpitting started
50015408,Directory harvest check triggered - Connection closed. Client address added to the deny list
50015409,Directory harvest check triggered - Connection closed
50015410,Directory harvest check triggered - Email deleted
50016,Anti-spam submission
50016500,Anti-spam submission - Submission triggered the anti-virus scanner. The email has been rejected
50016501,Anti-spam submission - Submission was incorrectly formatted. The email has been rejected
50019,User blacklist & whitelist error
50019107,User blacklist & whitelist error - Creation of an object has failed
50019328,User blacklist & whitelist error - Failed
