description,"fail_code"
"Cannot change to a security-disabled group because primary members are in this group.",0xC00002DC
"The WMI operation is not supported by the data block or method.",0xC00002DD
"There is not enough power to complete the requested operation.",0xC00002DE
"The Security Accounts Manager needs to get the boot password.",0xC00002DF
"The Security Accounts Manager needs to get the boot key from the floppy disk.",0xC00002E0
"The directory service cannot start.",0xC00002E1
"The directory service could not start because of the following error: %hs Error Status: 0x%x. Click OK to shut down this system and restart in Directory Services Restore Mode. Check the event log for more detailed information.",0xC00002E2
"The Security Accounts Manager initialization failed because of the following error: %hs Error Status: 0x%x. Click OK to shut down this system and restart in Safe Mode. Check the event log for more detailed information.",0xC00002E3
"The requested operation can be performed only on a global catalog server.",0xC00002E4
"A local group can only be a member of other local groups in the same domain.",0xC00002E5
"Foreign security principals cannot be members of universal groups.",0xC00002E6
"Your computer could not be joined to the domain. You have exceeded the maximum number of computer accounts you are allowed to create in this domain. Contact your system administrator to have this limit reset or increased.",0xC00002E7
"This operation cannot be performed on the current domain.",0xC00002E9
"The directory or file cannot be created.",0xC00002EA
"The system is in the process of shutting down.",0xC00002EB
"Directory Services could not start because of the following error: %hs Error Status: 0x%x. Click OK to shut down the system. You can use the recovery console to diagnose the system further.",0xC00002EC
"Security Accounts Manager initialization failed because of the following error: %hs Error Status: 0x%x. Click OK to shut down the system. You can use the recovery console to diagnose the system further.",0xC00002ED
"A security context was deleted before the context was completed. This is considered a logon failure.",0xC00002EE
"The client is trying to negotiate a context and the server requires user-to-user but did not send a TGT reply.",0xC00002EF
"An object ID was not found in the file.",0xC00002F0
"Unable to accomplish the requested task because the local machine does not have any IP addresses.",0xC00002F1
"The supplied credential handle does not match the credential that is associated with the security context.",0xC00002F2
"The crypto system or checksum function is invalid because a required function is unavailable.",0xC00002F3
"The number of maximum ticket referrals has been exceeded.",0xC00002F4
"The local machine must be a Kerberos KDC (domain controller) and it is not.",0xC00002F5
"The other end of the security negotiation requires strong crypto but it is not supported on the local machine.",0xC00002F6
"The KDC reply contained more than one principal name.",0xC00002F7
"Expected to find PA data for a hint of what etype to use, but it was not found.",0xC00002F8
"The client certificate does not contain a valid UPN, or does not match the client name in the logon request. Contact your administrator.",0xC00002F9
"Smart card logon is required and was not used.",0xC00002FA
"An invalid request was sent to the KDC.",0xC00002FB
"The KDC was unable to generate a referral for the service requested.",0xC00002FC
"The encryption type requested is not supported by the KDC.",0xC00002FD
"A system shutdown is in progress.",0xC00002FE
"The server machine is shutting down.",0xC00002FF
"This operation is not supported on a computer running Windows Server 2003 operating system for Small Business Server.",0xC0000300
"The WMI GUID is no longer available.",0xC0000301
"Collection or events for the WMI GUID is already disabled.",0xC0000302
"Collection or events for the WMI GUID is already enabled.",0xC0000303
"The master file table on the volume is too fragmented to complete this operation.",0xC0000304
"Copy protection failure.",0xC0000305
"Copy protection error—DVD CSS Authentication failed.",0xC0000306
"Copy protection error—The specified sector does not contain a valid key.",0xC0000307
"Copy protection error—DVD session key not established.",0xC0000308
"Copy protection error—The read failed because the sector is encrypted.",0xC0000309
"Copy protection error—The region of the specified DVD does not correspond to the region setting of the drive.",0xC000030A
"Copy protection error—The region setting of the drive may be permanent.",0xC000030B
"The Kerberos protocol encountered an error while validating the KDC certificate during smart card logon. There is more information in the system event log.",0xC0000320
"The Kerberos protocol encountered an error while attempting to use the smart card subsystem.",0xC0000321
"The target server does not have acceptable Kerberos credentials.",0xC0000322
"The transport determined that the remote system is down.",0xC0000350
"An unsupported pre-authentication mechanism was presented to the Kerberos package.",0xC0000351
"The encryption algorithm that is used on the source file needs a bigger key buffer than the one that is used on the destination file.",0xC0000352
"An attempt to remove a processes DebugPort was made, but a port was not already associated with the process.",0xC0000353
"An attempt to do an operation on a debug port failed because the port is in the process of being deleted.",0xC0000354
"This version of Windows is not compatible with the behavior version of the directory forest, domain, or domain controller.",0xC0000355
"The specified event is currently not being audited.",0xC0000356
"The machine account was created prior to Windows NT 4.0 operating system. The account needs to be recreated.",0xC0000357
"An account group cannot have a universal group as a member.",0xC0000358
"The specified image file did not have the correct format; it appears to be a 32-bit Windows image.",0xC0000359
"The specified image file did not have the correct format; it appears to be a 64-bit Windows image.",0xC000035A
"The client's supplied SSPI channel bindings were incorrect.",0xC000035B
"The client session has expired; so the client must re-authenticate to continue accessing the remote resources.",0xC000035C
"The AppHelp dialog box canceled; thus preventing the application from starting.",0xC000035D
"The SID filtering operation removed all SIDs.",0xC000035E
"The driver was not loaded because the system is starting in safe mode.",0xC000035F
"Access to %1 has been restricted by your Administrator by the default software restriction policy level.",0xC0000361
"Access to %1 has been restricted by your Administrator by location with policy rule %2 placed on path %3.",0xC0000362
"Access to %1 has been restricted by your Administrator by software publisher policy.",0xC0000363
"Access to %1 has been restricted by your Administrator by policy rule %2.",0xC0000364
"The driver was not loaded because it failed its initialization call.",0xC0000365
"The device encountered an error while applying power or reading the device configuration. This may be caused by a failure of your hardware or by a poor connection.",0xC0000366
"The create operation failed because the name contained at least one mount point that resolves to a volume to which the specified device object is not attached.",0xC0000368
"The device object parameter is either not a valid device object or is not attached to the volume that is specified by the file name.",0xC0000369
"A machine check error has occurred. Check the system event log for additional information.",0xC000036A
"Driver %2 has been blocked from loading.",0xC000036B
"Driver %2 has been blocked from loading.",0xC000036C
"There was error [%2] processing the driver database.",0xC000036D
"System hive size has exceeded its limit.",0xC000036E
"A dynamic link library (DLL) referenced a module that was neither a DLL nor the process's executable image.",0xC000036F
"The local account store does not contain secret material for the specified account.",0xC0000371
"Access to %1 has been restricted by your Administrator by policy rule %2.",0xC0000372
"The system was not able to allocate enough memory to perform a stack switch.",0xC0000373
"A heap has been corrupted.",0xC0000374
"An incorrect PIN was presented to the smart card.",0xC0000380
"The smart card is blocked.",0xC0000381
"No PIN was presented to the smart card.",0xC0000382
"No smart card is available.",0xC0000383
"The requested key container does not exist on the smart card.",0xC0000384
"The requested certificate does not exist on the smart card.",0xC0000385
"The requested keyset does not exist.",0xC0000386
"A communication error with the smart card has been detected.",0xC0000387
"The system detected a possible attempt to compromise security. Ensure that you can contact the server that authenticated you.",0xC0000388
"The smart card certificate used for authentication has been revoked. Contact your system administrator. There may be additional information in the event log.",0xC0000389
"An untrusted certificate authority was detected while processing the smart card certificate that is used for authentication. Contact your system administrator.",0xC000038A
"The revocation status of the smart card certificate that is used for authentication could not be determined. Contact your system administrator.",0xC000038B
"The smart card certificate used for authentication was not trusted. Contact your system administrator.",0xC000038C
"The smart card certificate used for authentication has expired. Contact your system administrator.",0xC000038D
"The driver could not be loaded because a previous version of the driver is still in memory.",0xC000038E
"The smart card provider could not perform the action because the context was acquired as silent.",0xC000038F
"The delegated trust creation quota of the current user has been exceeded.",0xC0000401
"The total delegated trust creation quota has been exceeded.",0xC0000402
"The delegated trust deletion quota of the current user has been exceeded.",0xC0000403
"The requested name already exists as a unique identifier.",0xC0000404
"The requested object has a non-unique identifier and cannot be retrieved.",0xC0000405
"The group cannot be converted due to attribute restrictions on the requested group type.",0xC0000406
"{Volume Shadow Copy Service} Wait while the Volume Shadow Copy Service prepares volume %hs for hibernation.",0xC0000407
"Kerberos sub-protocol User2User is required.",0xC0000408
"The system detected an overrun of a stack-based buffer in this application. This overrun could potentially allow a malicious user to gain control of this application.",0xC0000409
"The Kerberos subsystem encountered an error. A service for user protocol request was made against a domain controller which does not support service for user.",0xC000040A
"An attempt was made by this server to make a Kerberos constrained delegation request for a target that is outside the server realm. This action is not supported and the resulting error indicates a misconfiguration on the allowed-to-delegate-to list for this server. Contact your administrator.",0xC000040B
"The revocation status of the domain controller certificate used for smart card authentication could not be determined. There is additional information in the system event log. Contact your system administrator.",0xC000040C
"An untrusted certificate authority was detected while processing the domain controller certificate used for authentication. There is additional information in the system event log. Contact your system administrator.",0xC000040D
"The domain controller certificate used for smart card logon has expired. Contact your system administrator with the contents of your system event log.",0xC000040E
"The domain controller certificate used for smart card logon has been revoked. Contact your system administrator with the contents of your system event log.",0xC000040F
"Data present in one of the parameters is more than the function can operate on.",0xC0000410
"The system has failed to hibernate (The error code is %hs). Hibernation will be disabled until the system is restarted.",0xC0000411
"An attempt to delay-load a .dll or get a function address in a delay-loaded .dll failed.",0xC0000412
"Logon Failure: The machine you are logging onto is protected by an authentication firewall. The specified account is not allowed to authenticate to the machine.",0xC0000413
"%hs is a 16-bit application. You do not have permissions to execute 16-bit applications. Check your permissions with your system administrator.",0xC0000414
"{Display Driver Stopped Responding} The %hs display driver has stopped working normally. Save your work and reboot the system to restore full display functionality. The next time you reboot the machine a dialog will be displayed giving you a chance to report this failure to Microsoft.",0xC0000415
"The Desktop heap encountered an error while allocating session memory. There is more information in the system event log.",0xC0000416
"An invalid parameter was passed to a C runtime function.",0xC0000417
"The authentication failed because NTLM was blocked.",0xC0000418
"The source object's SID already exists in destination forest.",0xC0000419
"The domain name of the trusted domain already exists in the forest.",0xC000041A
"The flat name of the trusted domain already exists in the forest.",0xC000041B
"The User Principal Name (UPN) is invalid.",0xC000041C
"There has been an assertion failure.",0xC0000420
"Application verifier has found an error in the current process.",0xC0000421
"A user mode unwind is in progress.",0xC0000423
"%2 has been blocked from loading due to incompatibility with this system. Contact your software vendor for a compatible version of the driver.",0xC0000424
"Illegal operation attempted on a registry key which has already been unloaded.",0xC0000425
"Compression is disabled for this volume.",0xC0000426
"The requested operation could not be completed due to a file system limitation.",0xC0000427
"The hash for image %hs cannot be found in the system catalogs. The image is likely corrupt or the victim of tampering.",0xC0000428
"The implementation is not capable of performing the request.",0xC0000429
"The requested operation is out of order with respect to other operations.",0xC000042A
"An operation attempted to exceed an implementation-defined limit.",0xC000042B
"The requested operation requires elevation.",0xC000042C
"The required security context does not exist.",0xC000042D
"The PKU2U protocol encountered an error while attempting to utilize the associated certificates.",0xC000042E
"The operation was attempted beyond the valid data length of the file.",0xC0000432
"The attempted write operation encountered a write already in progress for some portion of the range.",0xC0000433
"The page fault mappings changed in the middle of processing a fault so the operation must be retried.",0xC0000434
"The attempt to purge this file from memory failed to purge some or all the data from memory.",0xC0000435
"The requested credential requires confirmation.",0xC0000440
"The remote server sent an invalid response for a file being opened with Client Side Encryption.",0xC0000441
"Client Side Encryption is not supported by the remote server even though it claims to support it.",0xC0000442
"File is encrypted and should be opened in Client Side Encryption mode.",0xC0000443
"A new encrypted file is being created and a $EFS needs to be provided.",0xC0000444
"The SMB client requested a CSE FSCTL on a non-CSE file.",0xC0000445
"Indicates a particular Security ID may not be assigned as the label of an object.",0xC0000446
"The process hosting the driver for this device has terminated.",0xC0000450
"The requested system device cannot be identified due to multiple indistinguishable devices potentially matching the identification criteria.",0xC0000451
"The requested system device cannot be found.",0xC0000452
"This boot application must be restarted.",0xC0000453
"Insufficient NVRAM resources exist to complete the API.  A reboot might be required.",0xC0000454
"No ranges for the specified operation were able to be processed.",0xC0000460
"The storage device does not support Offload Write.",0xC0000463
"Data cannot be moved because the source device cannot communicate with the destination device.",0xC0000464
"The token representing the data is invalid or expired.",0xC0000465
"The file server is temporarily unavailable.",0xC0000466
"The specified task name is invalid.",0xC0000500
"The specified task index is invalid.",0xC0000501
"The specified thread is already joining a task.",0xC0000502
"A callback has requested to bypass native code.",0xC0000503
"A fail fast exception occurred. Exception handlers will not be invoked and the process will be terminated immediately.",0xC0000602
"Windows cannot verify the digital signature for this file. The signing certificate for this file has been revoked.",0xC0000603
"The ALPC port is closed.",0xC0000700
"The ALPC message requested is no longer available.",0xC0000701
"The ALPC message supplied is invalid.",0xC0000702
"The ALPC message has been canceled.",0xC0000703
"Invalid recursive dispatch attempt.",0xC0000704
"No receive buffer has been supplied in a synchronous request.",0xC0000705
"The connection port is used in an invalid context.",0xC0000706
"The ALPC port does not accept new request messages.",0xC0000707
"The resource requested is already in use.",0xC0000708
"The hardware has reported an uncorrectable memory error.",0xC0000709
"Status 0x%08x was returned, waiting on handle 0x%x for wait 0x%p, in waiter 0x%p.",0xC000070A
"After a callback to 0x%p(0x%p), a completion call to Set event(0x%p) failed with status 0x%08x.",0xC000070B
"After a callback to 0x%p(0x%p), a completion call to ReleaseSemaphore(0x%p, %d) failed with status 0x%08x.",0xC000070C
"After a callback to 0x%p(0x%p), a completion call to ReleaseMutex(%p) failed with status 0x%08x.",0xC000070D
"After a callback to 0x%p(0x%p), a completion call to FreeLibrary(%p) failed with status 0x%08x.",0xC000070E
"The thread pool 0x%p was released while a thread was posting a callback to 0x%p(0x%p) to it.",0xC000070F
"A thread pool worker thread is impersonating a client, after a callback to 0x%p(0x%p). This is unexpected, indicating that the callback is missing a call to revert the impersonation.",0xC0000710
"A thread pool worker thread is impersonating a client, after executing an APC. This is unexpected, indicating that the APC is missing a call to revert the impersonation.",0xC0000711
"Either the target process, or the target thread's containing process, is a protected process.",0xC0000712
"A thread is getting dispatched with MCA EXCEPTION because of MCA.",0xC0000713
"The client certificate account mapping is not unique.",0xC0000714
"The symbolic link cannot be followed because its type is disabled.",0xC0000715
"Indicates that the specified string is not valid for IDN normalization.",0xC0000716
"No mapping for the Unicode character exists in the target multi-byte code page.",0xC0000717
"The provided callback is already registered.",0xC0000718
"The provided context did not match the target.",0xC0000719
"The specified port already has a completion list.",0xC000071A
"A threadpool worker thread entered a callback at thread base priority 0x%x and exited at priority 0x%x.",0xC000071B
"This is unexpected, indicating that the callback missed restoring the priority.","STATUS_CALLBACK_RETURNED_THREAD_PRIORITY"
"An invalid thread, handle %p, is specified for this operation. Possibly, a threadpool worker thread was specified.",0xC000071C
"A threadpool worker thread entered a callback, which left transaction state.",0xC000071D
"This is unexpected, indicating that the callback missed clearing the transaction.","STATUS_CALLBACK_RETURNED_TRANSACTION"
"A threadpool worker thread entered a callback, which left the loader lock held.",0xC000071E
"This is unexpected, indicating that the callback missed releasing the lock.","STATUS_CALLBACK_RETURNED_LDR_LOCK"
"A threadpool worker thread entered a callback, which left with preferred languages set.",0xC000071F
"This is unexpected, indicating that the callback missed clearing them.","STATUS_CALLBACK_RETURNED_LANG"
"A threadpool worker thread entered a callback, which left with background priorities set.",0xC0000720
"This is unexpected, indicating that the callback missed restoring the original priorities.","STATUS_CALLBACK_RETURNED_PRI_BACK"
"The attempted operation required self healing to be enabled.",0xC0000800
"The directory service cannot perform the requested operation because a domain rename operation is in progress.",0xC0000801
"An operation failed because the storage quota was exceeded.",0xC0000802
"An operation failed because the content was blocked.",0xC0000804
"The operation could not be completed due to bad clusters on disk.",0xC0000805
"The operation could not be completed because the volume is dirty. Please run the Chkdsk utility and try again.",0xC0000806
"This file is checked out or locked for editing by another user.",0xC0000901
"The file must be checked out before saving changes.",0xC0000902
"The file type being saved or retrieved has been blocked.",0xC0000903
"The file size exceeds the limit allowed and cannot be saved.",0xC0000904
"Access Denied. Before opening files in this location, you must first browse to the e.g. site and select the option to log on automatically.",0xC0000905
"The operation did not complete successfully because the file contains a virus.",0xC0000906
"This file contains a virus and cannot be opened. Due to the nature of this virus, the file has been removed from this location.",0xC0000907
"The resources required for this device conflict with the MCFG table.",0xC0000908
"The operation did not complete successfully because it would cause an oplock to be broken. The caller has requested that existing oplocks not be broken.",0xC0000909
"WOW Assertion Error.",0xC0009898
"The cryptographic signature is invalid.",0xC000A000
"The cryptographic provider does not support HMAC.",0xC000A001
"The IPsec queue overflowed.",0xC000A010
"The neighbor discovery queue overflowed.",0xC000A011
"An Internet Control Message Protocol (ICMP) hop limit exceeded error was received.",0xC000A012
"The protocol is not installed on the local machine.",0xC000A013
"{Delayed Write Failed} Windows was unable to save all the data for the file %hs; the data has been lost. This error may be caused by network connectivity issues. Try to save this file elsewhere.",0xC000A080
"{Delayed Write Failed} Windows was unable to save all the data for the file %hs; the data has been lost. This error was returned by the server on which the file exists. Try to save this file elsewhere.",0xC000A081
"{Delayed Write Failed} Windows was unable to save all the data for the file %hs; the data has been lost. This error may be caused if the device has been removed or the media is write-protected.",0xC000A082
"Windows was unable to parse the requested XML data.",0xC000A083
"An error was encountered while processing an XML digital signature.",0xC000A084
"This indicates that the caller made the connection request in the wrong routing compartment.",0xC000A085
"This indicates that there was an AuthIP failure when attempting to connect to the remote host.",0xC000A086
"OID mapped groups cannot have members.",0xC000A087
"The specified OID cannot be found.",0xC000A088
"Hash generation for the specified version and hash type is not enabled on server.",0xC000A100
"The hash requests is not present or not up to date with the current file contents.",0xC000A101
"A file system filter on the server has not opted in for Offload Read support.",0xC000A2A1
"A file system filter on the server has not opted in for Offload Write support.",0xC000A2A2
"Offload read operations cannot be performed on:",0xC000A2A3
" Compressed files",
" Sparse files",
" Encrypted files",
" File system metadata files",
"Offload write operations cannot be performed on:",0xC000A2A4
" Compressed files",
" Sparse files",
" Encrypted files",
" File system metadata files",
"The debugger did not perform a state change.",0xC0010001
"The debugger found that the application is not idle.",0xC0010002
"The string binding is invalid.",0xC0020001
"The binding handle is not the correct type.",0xC0020002
"The binding handle is invalid.",0xC0020003
"The RPC protocol sequence is not supported.",0xC0020004
"The RPC protocol sequence is invalid.",0xC0020005
"The string UUID is invalid.",0xC0020006
"The endpoint format is invalid.",0xC0020007
"The network address is invalid.",0xC0020008
"No endpoint was found.",0xC0020009
"The time-out value is invalid.",0xC002000A
"The object UUID was not found.",0xC002000B
"The object UUID has already been registered.",0xC002000C
"The type UUID has already been registered.",0xC002000D
"The RPC server is already listening.",0xC002000E
"No protocol sequences have been registered.",0xC002000F
"The RPC server is not listening.",0xC0020010
"The manager type is unknown.",0xC0020011
"The interface is unknown.",0xC0020012
"There are no bindings.",0xC0020013
"There are no protocol sequences.",0xC0020014
"The endpoint cannot be created.",0xC0020015
"Insufficient resources are available to complete this operation.",0xC0020016
"The RPC server is unavailable.",0xC0020017
"The RPC server is too busy to complete this operation.",0xC0020018
"The network options are invalid.",0xC0020019
"No RPCs are active on this thread.",0xC002001A
"The RPC failed.",0xC002001B
"The RPC failed and did not execute.",0xC002001C
"An RPC protocol error occurred.",0xC002001D
"The RPC server does not support the transfer syntax.",0xC002001F
"The type UUID is not supported.",0xC0020021
"The tag is invalid.",0xC0020022
"The array bounds are invalid.",0xC0020023
"The binding does not contain an entry name.",0xC0020024
"The name syntax is invalid.",0xC0020025
"The name syntax is not supported.",0xC0020026
"No network address is available to construct a UUID.",0xC0020028
"The endpoint is a duplicate.",0xC0020029
"The authentication type is unknown.",0xC002002A
"The maximum number of calls is too small.",0xC002002B
"The string is too long.",0xC002002C
"The RPC protocol sequence was not found.",0xC002002D
"The procedure number is out of range.",0xC002002E
"The binding does not contain any authentication information.",0xC002002F
"The authentication service is unknown.",0xC0020030
"The authentication level is unknown.",0xC0020031
"The security context is invalid.",0xC0020032
"The authorization service is unknown.",0xC0020033
"The entry is invalid.",0xC0020034
"The operation cannot be performed.",0xC0020035
"No more endpoints are available from the endpoint mapper.",0xC0020036
"No interfaces have been exported.",0xC0020037
"The entry name is incomplete.",0xC0020038
"The version option is invalid.",0xC0020039
"There are no more members.",0xC002003A
"There is nothing to unexport.",0xC002003B
"The interface was not found.",0xC002003C
"The entry already exists.",0xC002003D
"The entry was not found.",0xC002003E
"The name service is unavailable.",0xC002003F
"The network address family is invalid.",0xC0020040
"The requested operation is not supported.",0xC0020041
"No security context is available to allow impersonation.",0xC0020042
"An internal error occurred in the RPC.",0xC0020043
"The RPC server attempted to divide an integer by zero.",0xC0020044
"An addressing error occurred in the RPC server.",0xC0020045
"A floating point operation at the RPC server caused a divide by zero.",0xC0020046
"A floating point underflow occurred at the RPC server.",0xC0020047
"A floating point overflow occurred at the RPC server.",0xC0020048
"An RPC is already in progress for this thread.",0xC0020049
"There are no more bindings.",0xC002004A
"The group member was not found.",0xC002004B
"The endpoint mapper database entry could not be created.",0xC002004C
"The object UUID is the nil UUID.",0xC002004D
"No interfaces have been registered.",0xC002004F
"The RPC was canceled.",0xC0020050
"The binding handle does not contain all the required information.",0xC0020051
"A communications failure occurred during an RPC.",0xC0020052
"The requested authentication level is not supported.",0xC0020053
"No principal name was registered.",0xC0020054
"The error specified is not a valid Windows RPC error code.",0xC0020055
"A security package-specific error occurred.",0xC0020057
"The thread was not canceled.",0xC0020058
"Invalid asynchronous RPC handle.",0xC0020062
"Invalid asynchronous RPC call handle for this operation.",0xC0020063
"Access to the HTTP proxy is denied.",0xC0020064
"The list of RPC servers available for auto-handle binding has been exhausted.",0xC0030001
"The file designated by DCERPCCHARTRANS cannot be opened.",0xC0030002
"The file containing the character translation table has fewer than 512 bytes.",0xC0030003
"A null context handle is passed as an [in] parameter.",0xC0030004
"The context handle does not match any known context handles.",0xC0030005
"The context handle changed during a call.",0xC0030006
"The binding handles passed to an RPC do not match.",0xC0030007
"The stub is unable to get the call handle.",0xC0030008
"A null reference pointer was passed to the stub.",0xC0030009
"The enumeration value is out of range.",0xC003000A
"The byte count is too small.",0xC003000B
"The stub received bad data.",0xC003000C
"Invalid operation on the encoding/decoding handle.",0xC0030059
"Incompatible version of the serializing package.",0xC003005A
"Incompatible version of the RPC stub.",0xC003005B
"The RPC pipe object is invalid or corrupt.",0xC003005C
"An invalid operation was attempted on an RPC pipe object.",0xC003005D
"Unsupported RPC pipe version.",0xC003005E
"The RPC pipe object has already been closed.",0xC003005F
"The RPC call completed before all pipes were processed.",0xC0030060
"No more data is available from the RPC pipe.",0xC0030061
"A device is missing in the system BIOS MPS table. This device will not be used. Contact your system vendor for a system BIOS update.",0xC0040035
"A translator failed to translate resources.",0xC0040036
"An IRQ translator failed to translate resources.",0xC0040037
"Driver %2 returned an invalid ID for a child device (%3).",0xC0040038
"Reissue the given operation as a cached I/O operation",0xC0040039
"Session name %1 is invalid.",0xC00A0001
"The protocol driver %1 is invalid.",0xC00A0002
"The protocol driver %1 was not found in the system path.",0xC00A0003
"A close operation is pending on the terminal connection.",0xC00A0006
"No free output buffers are available.",0xC00A0007
"The MODEM.INF file was not found.",0xC00A0008
"The modem (%1) was not found in the MODEM.INF file.",0xC00A0009
"The modem did not accept the command sent to it. Verify that the configured modem name matches the attached modem.",0xC00A000A
"The modem did not respond to the command sent to it. Verify that the modem cable is properly attached and the modem is turned on.",0xC00A000B
"Carrier detection has failed or the carrier has been dropped due to disconnection.",0xC00A000C
"A dial tone was not detected within the required time. Verify that the phone cable is properly attached and functional.",0xC00A000D
"A busy signal was detected at a remote site on callback.",0xC00A000E
"A voice was detected at a remote site on callback.",0xC00A000F
"Transport driver error.",0xC00A0010
"The client you are using is not licensed to use this system. Your logon request is denied.",0xC00A0012
"The system has reached its licensed logon limit. Try again later.",0xC00A0013
"The system license has expired. Your logon request is denied.",0xC00A0014
"The specified session cannot be found.",0xC00A0015
"The specified session name is already in use.",0xC00A0016
"The requested operation cannot be completed because the terminal connection is currently processing a connect, disconnect, reset, or delete operation.",0xC00A0017
"An attempt has been made to connect to a session whose video mode is not supported by the current client.",0xC00A0018
"The application attempted to enable DOS graphics mode. DOS graphics mode is not supported.",0xC00A0022
"The requested operation can be performed only on the system console. This is most often the result of a driver or system DLL requiring direct console access.",0xC00A0024
"The client failed to respond to the server connect message.",0xC00A0026
"Disconnecting the console session is not supported.",0xC00A0027
"Reconnecting a disconnected session to the console is not supported.",0xC00A0028
"The request to control another session remotely was denied.",0xC00A002A
"A process has requested access to a session, but has not been granted those access rights.",0xC00A002B
"The terminal connection driver %1 is invalid.",0xC00A002E
"The terminal connection driver %1 was not found in the system path.",0xC00A002F
"The requested session cannot be controlled remotely. You cannot control your own session, a session that is trying to control your session, a session that has no user logged on, or other sessions from the console.",0xC00A0030
"The requested session is not configured to allow remote control.",0xC00A0031
"The RDP protocol component %2 detected an error in the protocol stream and has disconnected the client.",0xC00A0032
"Your request to connect to this terminal server has been rejected. Your terminal server client license number has not been entered for this copy of the terminal client. Contact your system administrator for help in entering a valid, unique license number for this terminal server client. Click OK to continue.",0xC00A0033
"Your request to connect to this terminal server has been rejected. Your terminal server client license number is currently being used by another user. Contact your system administrator to obtain a new copy of the terminal server client with a valid, unique license number. Click OK to continue.",0xC00A0034
"The remote control of the console was terminated because the display mode was changed. Changing the display mode in a remote control session is not supported.",0xC00A0035
"Remote control could not be terminated because the specified session is not currently being remotely controlled.",0xC00A0036
"Your interactive logon privilege has been disabled. Contact your system administrator.",0xC00A0037
"The terminal server security layer detected an error in the protocol stream and has disconnected the client.",0xC00A0038
"The target session is incompatible with the current session.",0xC00A0039
"The resource loader failed to find an MUI file.",0xC00B0001
"The resource loader failed to load an MUI file because the file failed to pass validation.",0xC00B0002
"The RC manifest is corrupted with garbage data, is an unsupported version, or is missing a required item.",0xC00B0003
"The RC manifest has an invalid culture name.",0xC00B0004
"The RC manifest has and invalid ultimate fallback name.",0xC00B0005
"The resource loader cache does not have a loaded MUI entry.",0xC00B0006
"The user stopped resource enumeration.",0xC00B0007
"The cluster node is not valid.",0xC0130001
"The cluster node already exists.",0xC0130002
"A node is in the process of joining the cluster.",0xC0130003
"The cluster node was not found.",0xC0130004
"The cluster local node information was not found.",0xC0130005
"The cluster network already exists.",0xC0130006
"The cluster network was not found.",0xC0130007
"The cluster network interface already exists.",0xC0130008
"The cluster network interface was not found.",0xC0130009
"The cluster request is not valid for this object.",0xC013000A
"The cluster network provider is not valid.",0xC013000B
"The cluster node is down.",0xC013000C
"The cluster node is not reachable.",0xC013000D
"The cluster node is not a member of the cluster.",0xC013000E
"A cluster join operation is not in progress.",0xC013000F
"The cluster network is not valid.",0xC0130010
"No network adapters are available.",0xC0130011
"The cluster node is up.",0xC0130012
"The cluster node is paused.",0xC0130013
"The cluster node is not paused.",0xC0130014
"No cluster security context is available.",0xC0130015
"The cluster network is not configured for internal cluster communication.",0xC0130016
"The cluster node has been poisoned.",0xC0130017
"An attempt was made to run an invalid AML opcode.",0xC0140001
"The AML interpreter stack has overflowed.",0xC0140002
"An inconsistent state has occurred.",0xC0140003
"An attempt was made to access an array outside its bounds.",0xC0140004
"A required argument was not specified.",0xC0140005
"A fatal error has occurred.",0xC0140006
"An invalid SuperName was specified.",0xC0140007
"An argument with an incorrect type was specified.",0xC0140008
"An object with an incorrect type was specified.",0xC0140009
"A target with an incorrect type was specified.",0xC014000A
"An incorrect number of arguments was specified.",0xC014000B
"An address failed to translate.",0xC014000C
"An incorrect event type was specified.",0xC014000D
"A handler for the target already exists.",0xC014000E
"Invalid data for the target was specified.",0xC014000F
"An invalid region for the target was specified.",0xC0140010
"An attempt was made to access a field outside the defined range.",0xC0140011
"The global system lock could not be acquired.",0xC0140012
"An attempt was made to reinitialize the ACPI subsystem.",0xC0140013
"The ACPI subsystem has not been initialized.",0xC0140014
"An incorrect mutex was specified.",0xC0140015
"The mutex is not currently owned.",0xC0140016
"An attempt was made to access the mutex by a process that was not the owner.",0xC0140017
"An error occurred during an access to region space.",0xC0140018
"An attempt was made to use an incorrect table.",0xC0140019
"The registration of an ACPI event failed.",0xC0140020
"An ACPI power object failed to transition state.",0xC0140021
"The requested section is not present in the activation context.",0xC0150001
"Windows was unble to process the application binding information. Refer to the system event log for further information.",0xC0150002
"The application binding data format is invalid.",0xC0150003
"The referenced assembly is not installed on the system.",0xC0150004
"The manifest file does not begin with the required tag and format information.",0xC0150005
"The manifest file contains one or more syntax errors.",0xC0150006
"The application attempted to activate a disabled activation context.",0xC0150007
"The requested lookup key was not found in any active activation context.",0xC0150008
"A component version required by the application conflicts with another component version that is already active.",0xC0150009
"The type requested activation context section does not match the query API used.",0xC015000A
"Lack of system resources has required isolated activation to be disabled for the current thread of execution.",0xC015000B
"The referenced assembly could not be found.",0xC015000C
"An attempt to set the process default activation context failed because the process default activation context was already set.",0xC015000E
"The activation context being deactivated is not the most recently activated one.",0xC015000F
"The activation context being deactivated is not active for the current thread of execution.",0xC0150010
"The activation context being deactivated has already been deactivated.",0xC0150011
"The activation context of the system default assembly could not be generated.",0xC0150012
"A component used by the isolation facility has requested that the process be terminated.",0xC0150013
