_key,device_type,site,city,country,site_criticality,zone,subnet,host_ip,asset_criticality,location,physical_addr,host_name,device_name,manufacturer,model,operating_system,firmware_version,cpe_uri,applicable_cves,depreciated_applicable_cves,legacy_os,antivirus_definition_status,patch_status,default_credentials_detected,first_communication,last_communication,inbound_communications,outbound_communications,purdue_level,is_running,force_installed,is_in_remote_access_mode,is_programmable,plc_mode,status,vlan,originating_source,auto_merge,originating_source,auto_merge
cf2b3c-c637db-aebcfe26-af2c,PLC,Tuas,Tuas,Singapore,Low,Controller LAN,10.128.70.96/27,10.128.70.106,Critical,Room 2,D0:0A:AB:B9:3C:87,TUS-FA-M3V_1-LINE4,TUS-FA-M3V_1-LINE4,Yokogawa,FA-M3V,Windows 10,,cpe:2.3:h:yokogawa:b\/m9000_vp:-:*:*:*:*:*:*:*,CVE-2014-3888,CVE-2014-3888,No,Up-to-Date,Up-to-Date,None Detected,1518172200,today-3:1857,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,VLAN502,,,,
cf5180-fd97ff-d02ffd7b-c2c3,HMI,Dublin,Dublin,Ireland,Critical,Manufacturing LAN,10.128.30.32/27,10.128.30.42,Medium,Annex L,00:40:03:72:44:B3,DUB-HMI01-LINE1,DUB-HMI01-LINE1,Emerson,G310S200U ,Windows NT,,cpe:2.3:o:microsoft:windows-nt:2008:*:*:*:*:*:*:*,,CVE-2008-2253,No,Up-to-Date,Up-to-Date,None Detected,1512378000,today-1:295,,,3,,,,,,,,,,,
d02043-8e7524-0fac2440-2c44,Workstation,Tuas,Tuas,Singapore,Low,Enterprise LAN,10.128.70.32/28,10.128.70.38,Low,Office,A4:11:94:82:25:FE,TUS-HR-DSK02,TUS-HR-DSK02,Lenovo,ThinkCentre M910z,Windows XP,,cpe:2.3:o:microsoft:windows_xp:-:sp2:*:*:*:*:*:*,,CVE-2008-2253,YES,Up-to-Date,Up-to-Date,None Detected,1518190200,today-5:9185,,,5,,,,,,,,,,,
d044cd-2d3ef0-2eed1dd3-4a0a,PLC,Berlin,Berlin,Germany,High,Controller LAN,10.137.128.64/26,10.137.128.71,High,Building B,AC:64:17:3D:4F:28,BER-SIM1200-LABELER1,BER-SIM1200-LABELER1,Siemens,SIMATIC S7-1200,Windows 10 ,,cpe:2.3:o:siemens:simatic_s7-1200_firmware:-:*:*:*:*:*:*:*,,CVE-2017-12741,No,Up-to-Date,Up-to-Date,None Detected,1512318600,today-5:28475,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,,,,,
d40cc0-556508-95cdcdfb-7e56,PLC,Dublin,Dublin,Ireland,Critical,Controller LAN,10.128.30.64/26,10.128.30.68,Critical,Annex L,00:24:3D:03:82:37,DUB-SE3007_1-LINE1,DUB-SE3007_1-LINE1,Emerson,SE3007,Windows NT,,cpe:2.3:a:emerson:deltav_distributed_control_system:11.3.1:*:*:*:*:*:*:*,,CVE-2018-19021,No,Up-to-Date,Up-to-Date,None Detected,1512388800,today-2:375,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,,,,,
dcd7a6-b175c0-a3d28592-ddc1,HMI,Dublin,Dublin,Ireland,Critical,Manufacturing LAN,10.128.30.32/27,10.128.30.43,Low,Annex L,00:40:03:E8:B8:B5,DUB-HMI02-LINE1,DUB-HMI02-LINE1,Emerson,G310S200U,Windows NT,,cpe:2.3:o:microsoft:windows-nt:2008:*:*:*:*:*:*:*,,CVE-2008-2253,No,Up-to-Date,Up-to-Date,None Detected,1512379800,today-2:375,,,3,,,,,,,,,,,
dd7728-dde6ad-b27c6b15-80fa,Server,Berlin,Berlin,Germany,High,DMZ,10.137.128.8/29,10.137.128.11,High,Building A,5C:F9:DD:58:D4:EB,BER-SIEMENS-APP1,BER-SIEMENS-APP1,Dell,PowerEdge T30,Windows Server 2012 R2,,cpe:2.3:o:microsoft:windows_server_2008:r2:sp1:*:*:*:*:x64:*,,CVE-2019-0654,No,Up-to-Date,Up-to-Date,None Detected,1512297000,today-3:275,,,4,,,,,,,,,,,
de5244-e3baca-03bf41f0-7962,Workstation,Tuas,Tuas,Singapore,Low,Manufacturing LAN,10.128.70.64/27,10.128.70.78,Low,Room 2,34:FC:B9:08:AB:F1,TUS-ENG-EWS03,TUS-ENG-EWS03,HPE,ThinkCentre M910z,Windows 10,,cpe:2.3:o:microsoft:windows_10:-:*:*:*:*:*:*:*,,CVE-2019-0654,No,Up-to-Date,Up-to-Date,None Detected,1518183000,today-1:47858,,,3,,,,,,,,,,,
e09feb-7af357-b766cba3-9ecf,Server,Berlin,Berlin,Germany,High,DMZ,10.137.128.8/29,10.137.128.12,Low,Building A,5C:F9:DD:6A:CC:3A,BER-SIEMENS-APP2,BER-SIEMENS-APP2,Dell,PowerEdge T30,Windows Server 2012 R2,,cpe:2.3:o:microsoft:windows_server_2008:r2:sp1:*:*:*:*:x64:*,CVE-2019-0654,CVE-2019-0654,No,Up-to-Date,Up-to-Date,None Detected,1512298800,today-4:7854,,,4,,,,,,,,,,,
e612d5-ccd04f-cda53d90-4cd2,Firewall,Dublin,Dublin,Ireland,Critical,DMZ,10.128.30.0/30,"10.128.30.1,10.128.30.9,10.128.30.17,10.128.30.33",Critical,Annex L,2C:B8:ED:55:F5:64,DUB-SONICWALL-FW01,DUB-SONICWALL-FW01,SonicWall,01-SSC-1705,SonicOS,,cpe:2.3:o:sonicwall:sonicos:*:*:*:*:*:*:*:* ,CVE-2018-9867,CVE-2018-9867,No,Up-to-Date,Up-to-Date,None Detected,1512379800,today-1:82343,,,4,,,,,,,,,,,
e61ee8-94e2c8-8cbe13f0-d14d,HMI,Dublin,Dublin,Ireland,Critical,Manufacturing LAN,10.128.30.32/27,10.128.30.44,Low,Annex L,00:40:03:09:42:67,DUB-HMI03-LINE1,DUB-HMI03-LINE1,Emerson,G310S200U ,Windows NT,,cpe:2.3:o:microsoft:windows-nt:2008:*:*:*:*:*:*:*,,CVE-2008-2253,No,Up-to-Date,Up-to-Date,None Detected,1512381600,today-3:3476,,,3,,,,,,,,,,,
edf4d0-528e1b-52d6012b-37d6,Workstation,Tuas,Tuas,Singapore,Low,Manufacturing LAN,10.128.70.64/27,10.128.70.75,Low,Room 2,28:92:4A:F3:8C:EF,TUS-OWS01-LINE4,TUS-OWS01-LINE3,HPE,ThinkCentre M910z,Windows XP,,cpe:2.3:o:microsoft:windows_xp:-:sp2:*:*:*:*:*:*,,CVE-2008-2253,YES,Up-to-Date,Up-to-Date,None Detected,1518175800,today-3:3858,,,3,,,,,,,,,,,
ee1427-4e82d7-26dd607d-b106,HMI,Dublin,Dublin,Ireland,Critical,Manufacturing LAN,10.128.30.32/27,10.128.30.45,Medium,Annex K,00:40:03:4C:3B:BF,DUB-HMI01-LINE2,DUB-HMI01-LINE2,Emerson,G310S200U,Windows NT,,cpe:2.3:o:microsoft:windows-nt:2008:*:*:*:*:*:*:*,,CVE-2008-2253,No,Up-to-Date,Up-to-Date,None Detected,1512383400,today-4:37589,,,3,,,,,,,,,,,
f04fda-8b7125-1175627b-cfc1,Workstation,Tuas,Tuas,Singapore,Low,Manufacturing LAN,10.128.70.64/27,10.128.70.73,Low,Room 1,28:92:4A:BF:A7:3A,TUS-OWS02-LINE2,TUS-OWS02-LINE1,HPE,ProLiant ML110,Windows Server 2012,,cpe:2.3:o:microsoft:windows_server_2012:-:*:*:*:*:*:*:*,,CVE-2018-8562,No,Up-to-Date,Up-to-Date,None Detected,1518172200,today-1:385,,,3,,,,,,,,,,,
f4227f-e175f2-8e2656a4-42f1,PLC,Tuas,Tuas,Singapore,Low,Controller LAN,10.128.70.96/27,10.128.70.103,High,Room 1,D0:0A:AB:A5:02:DC,TUS-FA-M3V_2-LINE2,TUS-FA-M3V_2-LINE2,Yokogawa,FA-M3V,Windows 10,,cpe:2.3:h:yokogawa:b\/m9000_vp:-:*:*:*:*:*:*:*,CVE-2014-3888,CVE-2014-3888,No,Up-to-Date,Up-to-Date,None Detected,1512484200,today-5:27475,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,VLAN502,,,,
f4ca02-aa00d1-92d482d6-92ad,Workstation,Berlin,Berlin,Germany,High,Manufacturing LAN,10.137.128.32/28,10.137.128.34,Medium,Building A,C8:DD:C9:92:CB:5C,BER-OWS01-LINE1,BER-OWS01-LINE1,Lenovo,ThinkCentre M910z,Windows 10,,cpe:2.3:o:microsoft:windows_10:-:*:*:*:*:*:*:*,,CVE-2019-0654,No,Up-to-Date,Up-to-Date,None Detected,1504873800,today-5:28473,,,3,,,,,,,,,,,
f6f004-3dfc57-cf5d68ac-0ea1,Server,Tuas,Tuas,Singapore,Low,DMZ,10.128.70.16/28,10.128.70.20,High,Telecom,00:00:64:4A:A9:41,TUS-CENTUMVP-APP02,TUS-CENTUMVP-APP02,Yokogawa,Centum VP DCS,Windows 10,,cpe:2.3:a:yokogawa:centum_vp:*:*:*:*:*:*:*:*,,CVE-2019-5909?,No,Up-to-Date,Up-to-Date,None Detected,1512394200,today-1:76573,,,4,,,,,,,,,,,
fa50b1-517b83-cb985986-fddf,Firewall,Dublin,Dublin,Ireland,Critical,Manufacturing LAN,10.128.30.32/27,"10.128.30.34,10.128.30.65",Critical,Annex L,2C:B8:ED:57:7C:B5,DUB-SONICWALL-FW02,DUB-SONICWALL-FW02,SonicWall,01-SSC-1705,SonicOS,,cpe:2.3:o:sonicwall:sonicos:*:*:*:*:*:*:*:* ,,CVE-2018-9867,No,Up-to-Date,Up-to-Date,None Detected,1512381600,today-1:76543,,,3,,,,,,,,,,,
fb6576-7ea005-0907668f-7f03,Switch,Berlin,Berlin,Germany,High,Manufacturing LAN,10.137.128.32/28,10.137.128.66,High,Building B,00:1B:1B:70:A7:B8,BER-SCALANCE-SW01,BER-SCALANCE-SW01,Siemens,Scalance X-200,VxWorks,,cpe:2.3:o:siemens:scalance_x200_firmware:-:*:*:*:*:*:*:*,,CVE-2017-2681,No,Up-to-Date,Up-to-Date,None Detected,1512311400,today-1:23847,,,3,,,,,,,,,,,
fe0316-5243af-321f154d-683b,PLC,Berlin,Berlin,Germany,High,Controller LAN,10.137.128.64/26,10.137.128.70,Medium,Building A,88:3F:99:9D:24:3A,BER-SIM1200-PALLETIZER2,BER-SIM1200-PALLETIZER2,Siemens,SIMATIC S7-1200,Windows 10 ,,cpe:2.3:o:siemens:simatic_s7-1200_firmware:-:*:*:*:*:*:*:*,,CVE-2017-12741,No,Up-to-Date,Up-to-Date,None Detected,1512316800,today-4:9422,,,2,TRUE,FALSE,FALSE,TRUE,RUNNING,RUN,,,,,
ff2e0b-fd2633-bf75a834-331a,Server,Tuas,Tuas,Singapore,Low,DMZ,10.128.70.16/28,10.128.70.22,Medium,Telecom,00:00:64:F2:89:58,TUS-EXAQUANTUM-APP02,TUS-EXAQUANTUM-APP02,Yokogawa,Centum VP DCS,Windows 10,,cpe:2.3:a:yokogawa:centum_vp:*:*:*:*:*:*:*:*,,CVE-2019-5909,No,Up-to-Date,Up-to-Date,None Detected,1512397800,today-3:76456,,,4,,,,,,,,,,,
