field,type,sourcetype,areas,pulldown_type,description
sourcetype,categorical,ALL,core,,A Splunk field indicating the sourcetype.
src_ip,categorical,cucm_cdr,network,,(added by the app) this is the CIM-compliant version of the origIPAddr field.
subgroup,categorical,cucm_cdr,parties,explicitSPL,"(added by the groups lookup) This field represents the union of the callingPartySubgroup, originalCalledPartySubgroup and finalCalledPartySubgroup, as looked up in the groups lookup, for the given call leg or for all call legs in the given call. "
subscriber,categorical,cube_cdr,cube routing,,T1/channel associated signaling (CAS) or E1/R2 signal information about a subscriber.
supp_svc_xfer_by,categorical,cube_cdr,cube routing,,Transferrer information in the REFER/BYE/ALSO of SIP call. Used only in SIP call transfer.
terminatingCalledPartyGroup,categorical,cucm_cdr,parties,explicitSPL,(added by the app) This represents the group of the called party on the final (aka 'terminating') call leg in a multi leg call. For single-leg calls it will simply be the group of the user associated with the finalCalledPartyNumber.
terminatingCalledPartyName,categorical,cucm_cdr,parties,explicitSPL,(added by the app) This represents the name of the called party on the final (aka 'terminating') call leg in a multi leg call. For single-leg calls it will simply be the name of the user associated with the finalCalledPartyNumber.
terminatingCalledPartyNumber,categorical,cucm_cdr,parties,explicitSPL,(added by the app) This represents the finalCalledPartyNumber of the terminating call leg in a multi leg call. For single-leg calls it will simply be the finalCalledPartyNumber itself
terminatingCalledPartySubgroup,categorical,cucm_cdr,parties,explicitSPL,(added by the app) This represents the subgroup of the called party on the final (aka 'terminating') call leg in a multi leg call. For single-leg calls it will simply be the subgroup of the user associated with the finalCalledPartyNumber.
terminatingCallingPartyGroup,categorical,cucm_cdr,parties,explicitSPL,(added by the app) This represents the group of the calling party on the final (aka 'terminating') call leg in a multi leg call. For single-leg calls it will simply be the group of the user associated with the callingPartyNumber.
terminatingCallingPartyName,categorical,cucm_cdr,parties,explicitSPL,(added by the app) This represents the name of the calling party on the final (aka 'terminating') call leg in a multi leg call. For single-leg calls it will simply be the name of the user associated with the callingPartyNumber.
terminatingCallingPartyNumber,categorical,cucm_cdr,parties,explicitSPL,(added by the app) This represents the callingPartyNumber of the terminating call leg in a multi leg call. For single-leg calls it will simply be the callingPartyNumber itself.
terminatingCallingPartySubgroup,categorical,cucm_cdr,parties,explicitSPL,(added by the app) This represents the subgroup of the calling party on the final (aka 'terminating') call leg in a multi leg call. For single-leg calls it will simply be the subgroup of the user associated with the callingPartyNumber.
time,time,ALL,core,,"(added by the app) The start time of the call.  Note that how this is calculated varies across the different sourcetypes.  For instance in cucm_cdr this is the dateTimeOrigination of the call's first leg. For cube_cdr it is the unix-time field, an epochtime-valued field that is always the first field in the row."
to,categorical,cucm_cdr,location,explicitSPL,"(added by the app) only present in particular views). This field is created by the app in certain views and represents a fairly intelligent merging of location information deduced from the country code,  area code and exchange, with other information deduced from the IP addresses and relevant subnet from the sites lookup. Users wishing to use this field in their own searches and reports can use this combination of macros to construct the field manually in their data - `get_sites` | `get_locations` | `get_to_and_from`"
totalWaitTimeInQueue,numeric,cucm_cdr,time,,Specifies how long in seconds a caller spent in a queue.
transfers,numeric,cucm_cdr,core,explicitSPL,"(added by the app) This field will count the number of transfers. Specifically a single leg call will have transfers=0,  a call with two or more call legs with one call leg showing 'Call Split' will have transfers=1,  a call with three or more call legs with two legs showing 'Call Split' will have transfers=2 etc."
transmission_medium_req,categorical,cube_cdr,cube reference,,Sent in start and stop accounting records for call legs 1 and 4.
tx_duration,numeric,cube_cdr,cube time,,"Duration, in ms, of transmit path open from this peer to the voice gateway for the call."
TxBw,numeric,cucm_cmr,video quality,,Identifies the actual bandwidth that is used for the transmitted video stream.
TxBwMax,numeric,cucm_cmr,video quality,,Identifies the maximum negotiated bandwidth for the transmitted video stream.
TxCodec,categorical,cucm_cmr,video quality,,Identifies the type of video codec used for the transmitted video stream.
TxFrameRate,numeric,cucm_cmr,video quality,,Identifies the average frame rate that is measured in frames per second for the transmitted video stream.
TxReso,categorical,cucm_cmr,video quality,,"Identifies the resolution of the transmitted video stream (for example, 640x480)."
type,categorical,"cucm_cdr,cube_cdr",core,,"(added by the app) This field tells you whether the call is an incoming, outgoing, internal or tandem call. It is calculated from the presence of the orig_gateway and/or dest_gateway fields."
unix_time,categorical,cube_cdr,cube time,,System time stamp when CDR is captured.
userDepartment,categorical,cucm_cdr,devices,explicitSPL,(added by the app) This represents the union of both the origUserDepartment and destUserDepartment fields.
userEmail,categorical,cucm_cdr,devices,explicitSPL,(added by the app) This represents the union of both the origUserEmail and destUserEmail fields.
userId,categorical,cucm_cdr,devices,explicitSPL,(added by the app) This represents the union of both the origUserId and destUserId fields.
username,categorical,cube_cdr,cube security,,Username for authentication. Usually this is the same as the calling number.
userName,categorical,cucm_cdr,devices,explicitSPL,(added by the app) This represents the union of both the origUserName and destUserName fields.
vad_enable,categorical,cube_cdr,cube quality,,Whether or not voice-activity detection (VAD) is enabled for the voice call.
video_leg_kb,numeric,cucm_cdr,video network,,(added by the app) The total kb used for the video portion of this call leg.
videoContentType,categorical,cucm_cdr,video,,a CMR field that we believe is only present in very old CUCM versions. Contact us if you see this field in your data.
videoDuration,numeric,cucm_cdr,video,,a CMR field that we believe is only present in very old CUCM versions. Contact us if you see this field in your data.
videoReceptionMetrics,categorical,cucm_cdr,video,,a CMR field that we believe is only present in very old CUCM versions. Contact us if you see this field in your data.
videoReceptionMetrics_channel2,categorical,cucm_cdr,video,,a CMR field that we believe is only present in very old CUCM versions. Contact us if you see this field in your data.
videoTransmissionMetrics,categorical,cucm_cdr,video,,a CMR field that we believe is only present in very old CUCM versions. Contact us if you see this field in your data.
videoTransmissionMetrics_channel2,categorical,cucm_cdr,video,,a CMR field that we believe is only present in very old CUCM versions. Contact us if you see this field in your data.
voice_feature,categorical,cube_cdr,cube redirection routing,,"Type of feature: BXFER = Blind transfer, CFA = Call forward all, CFBY = Call forward busy, CFNA = Call forward no answer, CXFER = Consultative transfer, TWC = Two-way call."
voice_tx_duration,numeric,cube_cdr,cube time,,"Duration, in ms, for this call."
wasCallQueued,categorical,cucm_cdr,reference,,"Specifies whether the call was put into a queue or not.  1 indicates yes,  0 indicates no."
